otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu44	Gallus gallus	redjun	Gallus_gallus	153563	Gallus gallus
otu43	Crax blumenbachii	rebcur1	Crax_blumenbachii	488156	Crax blumenbachii
otu42	Anhima cornuta	horscr1	Anhima_cornuta	767829	Anhima cornuta
otu38	Antrostomus vociferus	whip-p1	Caprimulgus_vociferus	1039515	Caprimulgus vociferus
otu39	Podargus strigoides	tawfro1	Podargus_strigoides	313120	Podargus strigoides
otu41	Hirundapus caudacutus	whtnee	Hirundapus_caudacutus	501661	Hirundapus caudacutus
otu40	Chaetura pelagica	chiswi	Chaetura_pelagica	609785	Chaetura pelagica
otu34	Claravis pretiosa	blgdov1	Claravis_pretiosa	604964	Claravis pretiosa
otu36	Metriopelia morenoi	begdov1	Metriopelia_morenoi	550855	Metriopelia morenoi
otu35	Columbina squammata	scadov1	Columbina_squammata	28925	Scardafella squammata
otu37	Uropelia campestris	ltgdov1	Uropelia_campestris	430170	Uropelia campestris
otu27	Macropygia amboinensis	sbcdov1	Macropygia_amboinensis	956246	Macropygia amboinensis
otu28	Turacoena manadensis	wfcdov1	Turacoena_manadensis	430168	Turacoena manadensis
otu29	Reinwardtoena browni	picdov1	Reinwardtoena_browni	801226	Reinwardtoena browni
otu25	Columba livia	rocpig	Columba_livia	938416	Columba livia
otu26	Streptopelia capicola	rindov	Streptopelia_capicola	244134	Streptopelia capicola
otu30	Patagioenas speciosa	scapig2	Patagioenas_speciosa	773509	Patagioenas speciosa
otu33	Zenaida macroura	moudov	Zenaida_macroura	183576	Zenaida macroura
otu32	Leptotila rufaxilla	grfdov1	Leptotila_rufaxilla	534763	Leptotila rufaxilla
otu31	Geotrygon montana	ruqdov	Geotrygon_montana	664480	Geotrygon montana
otu18	Alopecoenas jobiensis	wbgdov1	Gallicolumba_jobiensis	380071	Gallicolumba jobiensis
otu19	Henicophaps albifrons	negbro1	Henicophaps_albifrons	956249	Henicophaps albifrons
otu24	Phaps chalcoptera	combro1	Phaps_chalcoptera	28965	Phaps chalcoptera
otu23	Leucosarcia melanoleuca	wonpig1	Leucosarcia_melanoleuca	358714	Leucosarcia melanoleuca
otu20	Geopelia striata	zebdov	Geopelia_striata	956251	Geopelia striata
otu22	Petrophassa albipennis	wqrpig1	Petrophassa_albipennis	956245	Petrophassa albipennis
otu21	Ocyphaps lophotes	crepig1	Geophaps_lophotes	392967	Ocyphaps lophotes
otu17	Treron calvus	afrgrp1	Treron_calva	550858	Treron calvus
otu10	Turtur chalcospilos	eswdov1	Turtur_chalcospilos	1077424	Turtur chalcospilos
otu9	Oena capensis	namdov1	Oena_capensis	975892	Oena capensis
otu8	Chalcophaps stephani	stedov1	Chalcophaps_stephani	1077422	Chalcophaps stephani
otu11	Phapitreron amethystinus	amedov1	Phapitreron_amesthystina	430171	Phapitreron amethystinus
otu13	Gymnophaps albertisii	pampig2	Gymnophaps_albertsii	437673	Gymnophaps albertisii
otu14	Lopholaimus antarcticus	toppig1	Lopholaimus_antarcticus	956247	Lopholaimus antarcticus
otu15	Hemiphaga novaeseelandiae	nezpig2	Hemiphaga_novaeseelandiae	438081	Hemiphaga novaeseelandiae
otu12	Ducula rufigaster	ptipig1	Ducula_rufigaster	380070	Ducula rufigaster
otu16	Ptilinopus pulchellus	befdov1	Ptilinopus_pulchellus	956244	Ptilinopus pulchellus
otu1	Caloenas nicobarica	nicpig1	Caloenas_nicobarica	1032058	Caloenas nicobarica
otu2	Trugon terrestris	tbgpig2	Trugon_terrestris	956253	Trugon terrestris
otu3	Goura cristata	wecpig1	Goura	1026076	Goura cristata
otu4	Goura scheepmakeri	soucrp2	Goura_21.0	3596621	Goura scheepmakeri
otu5	Goura victoria	vicpig1	Goura_31.0	392933	Goura victoria
otu6	Goura cristata	wecpig1	Goura_cristata	1026076	Goura cristata
otu7	Otidiphaps nobilis	phepig1	Otidiphaps_nobilis	543760	Otidiphaps nobilis
otu45	Struthio camelus	ostric2	Struthio_camelus	647692	Struthio camelus
