otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu1	Geranoaetus albicaudatus	whthaw	Buteo_albicaudatus	458094	Buteo albicaudatus
otu2	Buteo swainsoni	swahaw	Buteo_swainsoni	1026126	Buteo swainsoni
otu3	Buteo galapagoensis	galhaw1	Buteo_galapagoensis	213673	Buteo galapagoensis
otu7	Buteo regalis	ferhaw	Buteo_regalis	155919	Buteo regalis
otu6	Buteo lagopus	rolhaw	Buteo_lagopus	188484	Buteo lagopus
otu4	Buteo lineatus	reshaw	Buteo_lineatus	781301	Buteo lineatus
otu5	Buteo jamaicensis	rethaw	Buteo_jamaicensis	509839	Buteo jamaicensis
