otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu427106	Eurostopodus argus	sponig1	Eurostopodus_argus	847125	Eurostopodus argus
otu427107	Eurostopodus mystacalis	whtnig3	Eurostopodus_mystacalis	798642	Eurostopodus mystacalis
otu427108	Eurostopodus papuensis	papnig1	Eurostopodus_papuensis	202981	Eurostopodus papuensis
otu427105	Lyncornis macrotis	grenig1	Eurostopodus_macrotis	483809	Eurostopodus macrotis
otu427104	Gactornis enarratus	colnig1	Caprimulgus_enarratus	960274	Caprimulgus enarratus
otu427076	Caprimulgus manillensis	phinig1	Caprimulgus_manillensis_1	604420	Caprimulgus manillensis
otu427077	Caprimulgus manillensis	phinig1	Caprimulgus_manillensis_2	604420	Caprimulgus manillensis
otu427075	Caprimulgus indicus	grynig2	Caprimulgus_indicus	618206	Caprimulgus indicus
otu427074	Caprimulgus macrurus	latnig2	Caprimulgus_macrurus_2	624319	Caprimulgus macrurus
otu427073	Caprimulgus macrurus	latnig2	Caprimulgus_macrurus_1	624319	Caprimulgus macrurus
otu427067	Caprimulgus madagascariensis	madnig1	Caprimulgus_madagascariensis	960263	Caprimulgus madagascariensis
otu427061	no_match	no_match	Caprimulgus_sp.	275134	Caprimulgus
otu427060	Caprimulgus europaeus	eurnig1	Caprimulgus_europaeus	178687	Caprimulgus europaeus
otu427059	Caprimulgus rufigena	rucnig1	Caprimulgus_rufigena	742978	Caprimulgus rufigena
otu427063	Caprimulgus fossii	sqtnig1	Caprimulgus_fossii	960277	Caprimulgus fossii
otu427062	Caprimulgus climacurus	lotnig1	Caprimulgus_climacurus	378509	Caprimulgus climacurus
otu427064	Caprimulgus longipennis	stwnig1	Macrodipteryx_longipennis	903620	Macrodipteryx longipennis
otu427065	Caprimulgus vexillarius	pewnig1	Macrodipteryx_vexillarius	51276	Macrodipteryx vexillarius
otu427066	Caprimulgus batesi	batnig2	Caprimulgus_batesi	336015	Caprimulgus batesi
otu427072	Caprimulgus affinis	savnig1	Caprimulgus_affinis	624318	Caprimulgus affinis
otu427071	Caprimulgus aegyptius	egynig1	Caprimulgus_aegyptius	960285	Caprimulgus aegyptius
otu427068	Caprimulgus poliocephalus	abynig1	Caprimulgus_poliocephalus	742970	Caprimulgus poliocephalus
otu427069	Caprimulgus pectoralis	finnig1	Caprimulgus_pectoralis	960266	Caprimulgus pectoralis
otu427070	Caprimulgus nigriscapularis	bksnig1	Caprimulgus_nigriscapularis	206187	Caprimulgus nigriscapularis
otu427083	Chordeiles pusillus	leanig1	Chordeiles_pusillus	322686	Chordeiles pusillus
otu427084	Chordeiles nacunda	nacnig1	Podager_nacunda	741570	Podager nacunda
otu427081	Chordeiles rupestris	sacnig1	Chordeiles_rupestris	275136	Chordeiles rupestris
otu427080	Chordeiles acutipennis	lesnig	Chordeiles_acutipennis_3	484902	Chordeiles acutipennis
otu427079	Chordeiles acutipennis	lesnig	Chordeiles_acutipennis_2	484902	Chordeiles acutipennis
otu427078	Chordeiles acutipennis	lesnig	Chordeiles_acutipennis_1	484902	Chordeiles acutipennis
otu427082	Chordeiles minor	comnig	Chordeiles_minor	870594	Chordeiles minor
otu427100	Nyctiprogne leucopyga	batnig1	Nyctiprogne_leucopyga	51270	Nyctiprogne leucopyga
otu427098	Nyctidromus anthonyi	scrnig1	Caprimulgus_anthonyi	960269	Caprimulgus anthonyi
otu427097	Nyctidromus albicollis	compau	Nyctidromus_albicollis	1014896	Nyctidromus albicollis
otu427099	Nyctipolus nigrescens	blanig1	Caprimulgus_nigrescens	102378	Caprimulgus nigrescens
otu427091	Systellura longirostris mochaensis	bawnig4	Caprimulgus_longirostris	275133	Caprimulgus longirostris
otu427092	Eleothreptus anomalus	siwnig1	Eleothreptus_anomalus	903612	Eleothreptus anomalus
otu427090	Uropsalis segmentata	swtnig1	Uropsalis_segmentata	752978	Uropsalis segmentata
otu427089	Uropsalis lyra	lytnig1	Uropsalis_lyra	272734	Uropsalis lyra
otu427086	Hydropsalis climacocerca	latnig1	Hydropsalis_climacocerca	624335	Hydropsalis climacocerca
