otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu4	Sasia ochracea	whbpic3	Sasia_ochracea	678453	Sasia ochracea
otu3	Verreauxia africana	afrpic1	Sasia_africana	155286	Sasia africana
otu51	Picumnus innominatus	spepic1	Picumnus_innominatus	802075	Picumnus innominatus
otu52	Picumnus cirratus	whbpic1	Picumnus_cirratus	839547	Picumnus cirratus
otu25	Campephilus leucopogon	crbwoo2	Campephilus_leucopogon	499963	Campephilus leucopogon
otu26	Campephilus haematogaster	crbwoo1	Campephilus_haematogaster	706428	Campephilus haematogaster
otu6	Sphyrapicus ruber	rebsap	Sphyrapicus_ruber	200801	Sphyrapicus ruber
otu7	Melanerpes herminieri	guawoo1	Melanerpes_herminieri	925306	Melanerpes herminieri
otu8	Melanerpes carolinus	rebwoo	Melanerpes_carolinus	119082	Melanerpes carolinus
otu9	Melanerpes flavifrons	yefwoo1	Melanerpes_flavifrons	499949	Melanerpes flavifrons
otu19	Chloropicus pyrrhogaster	fibwoo1	Dendropicos_pyrrhogaster	499953	Dendropicos pyrrhogaster
otu20	Chloropicus griseocephalus	oliwoo2	Dendropicos_griseocephalus	329876	Dendropicos griseocephalus
otu18	Chloropicus elliotii	ellwoo1	Dendropicos_elliotii	499958	Dendropicos elliotii
otu17	Chloropicus fuscescens	carwoo1	Dendropicos_fuscescens	329875	Dendropicos fuscescens
otu22	Dendrocoptes medius	miswoo1	Dendrocopos_medius	499959	Leiopicus medius
otu21	Leiopicus mahrattensis	yecwoo1	Dendrocopos_mahrattensis	1076483	Leiopicus mahrattensis
otu15	Dryobates mixtus	chewoo3	Picoides_mixtus	701709	Picoides mixtus
otu16	Dryobates nigriceps	babwoo2	Veniliornis_nigriceps	65433	Veniliornis nigriceps
otu14	Dryobates villosus	haiwoo	Picoides_villosus	733988	Picoides villosus
otu13	Dryobates minor	leswoo1	Dendrocopos_minor	952615	Dendrocopos minor
otu10	Dendrocopos macei	fubwoo2	Dendrocopos_macei	499952	Dendrocopos macei
otu12	Dendrocopos leucotos	whbwoo1	Dendrocopos_leucotos	309879	Dendrocopos leucotos
otu11	Dendrocopos major	grswoo	Dendrocopos_major	348848	Dendrocopos major
otu24	Yungipicus canicapillus	gycwoo1	Dendrocopos_canicapillus	1076482	Dendrocopos canicapillus
otu23	Picoides tridactylus	ettwoo1	Picoides_tridactylus	178448	Picoides tridactylus
otu49	Reinwardtipicus validus	orbwoo1	Reinwardtipicus_validus	1025755	Chrysocolaptes validus
otu50	Chrysocolaptes lucidus	busfla1	Chrysocolaptes_lucidus	724186	Chrysocolaptes lucidus
otu48	Blythipicus pyrrhotis	baywoo1	Blythipicus_pyrrhotis	534436	Blythipicus pyrrhotis
otu33	Micropternus brachyurus	rufwoo2	Celeus_brachyurus	1076469	Celeus brachyurus
otu34	Meiglyptes tristis	burwoo1	Meiglyptes_tristis	726782	Meiglyptes tristis
otu36	Dinopium javanense	comfla1	Dinopium_javanense	1076468	Dinopium javanense
otu35	Gecinulus grantia	pahwoo1	Gecinulus_grantia	449214	Gecinulus grantia
otu37	Piculus chrysochloros	gogwoo1	Piculus_chrysochloros	149826	Piculus chrysochloros
otu38	Colaptes auratus	norfli	Colaptes_auratus	733990	Colaptes auratus
otu39	Colaptes rivolii	crmwoo2	Piculus_rivolii	290740	Piculus rivolii
otu40	Colaptes melanochloros	grbwoo3	Colaptes_melanochloros	499950	Colaptes melanochloros
otu41	Celeus lugubris	pacwoo1	Celeus_lugubris	499951	Celeus lugubris
otu42	Celeus grammicus	scbwoo5	Celeus_grammicus	499964	Celeus grammicus
otu44	Dryocopus martius	blawoo1	Dryocopus_martius	459335	Dryocopus martius
otu45	Mulleripicus funebris	soowoo1	Mulleripicus_funebris	149816	Mulleripicus funebris
otu43	Dryocopus lineatus	linwoo1	Dryocopus_lineatus	290738	Dryocopus lineatus
otu30	Geocolaptes olivaceus	growoo1	Geocolaptes_olivaceus	724169	Geocolaptes olivaceus
otu32	Campethera nivosa	buswoo1	Campethera_nivosa	755098	Campethera nivosa
otu31	Campethera caroli	brewoo1	Campethera_caroli	952595	Campethera caroli
otu27	Picus chlorolophus	lesyel1	Picus_chlorolophus	1076474	Picus chlorolophus
otu28	Picus canus	gyfwoo1	Picus_canus	226445	Picus canus
otu29	Picus viridis	eugwoo2	Picus_viridis	1010553	Picus viridis
otu47	Chrysophlegma mentale	chtwoo1	Picus_mentalis	738744	Chrysophlegma mentale
otu46	Chrysophlegma flavinucha	greyel1	Picus_flavinucha	968224	Chrysophlegma flavinucha
otu5	Hemicircus canente	heswoo1	Hemicircus_canente	1025757	Hemicircus canente
otu2	Jynx torquilla	eurwry	Jynx_torquilla	467846	Jynx torquilla
