otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu313884	Pelecanus erythrorhynchos	amwpel	Pelecanus_erythrorhynchos	316989	Pelecanus erythrorhynchos
otu313855	Pelecanus occidentalis	brnpel	Pelecanus_occidentalis	329999	Pelecanus occidentalis
otu313853	Fregata magnificens	magfri	Fregata_magnificens	330000	Fregata magnificens
otu313883	Fregata minor	grefri	Fregata_minor	285638	Fregata minor
otu313882	Phalacrocorax sulcirostris	libcor1	Phalacrocorax_sulcirostris	443642	Phalacrocorax sulcirostris
otu313859	Phalacrocorax varius	piecor1	Phalacrocorax_varius	701202	Phalacrocorax varius
otu313888	Phalacrocorax punctatus	sposha1	Phalacrocorax_punctatus	480891	Phalacrocorax punctatus
otu313885	Phalacrocorax auritus	doccor	Phalacrocorax_auritus	170200	Phalacrocorax auritus
otu313887	Phalacrocorax aristotelis	eursha1	Phalacrocorax_aristotelis	1021952	Phalacrocorax aristotelis
otu313852	Phalacrocorax carbo	grecor	Phalacrocorax_carbo	969841	Phalacrocorax carbo
otu313886	Microcarbo pygmaeus	pygcor2	Phalacrocorax_pygmaeus	3600659	Phalacrocorax pygmaeus
otu313860	Anhinga novaehollandiae	darter4	Anhinga_novaehollandiae	443639	Anhinga novaehollandiae
otu313881	Sula nebouxii	bfoboo	Sula_nebouxii	429615	Sula nebouxii
otu313856	Sula dactylatra	masboo	Sula_dactylatra	170197	Sula dactylatra
otu313880	Sula leucogaster	brnboo	Sula_leucogaster	1030310	Sula leucogaster
otu313858	Sula sula	refboo	Sula_sula	1030314	Sula sula
otu313854	Morus bassanus	norgan	Morus_bassanus	675103	Morus bassanus
otu313857	Morus serrator	ausgan1	Morus_serrator	403772	Morus serrator
otu313889	Gavia stellata	retloo	Gavia_stellata	1057044	Gavia stellata
