otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu76	Megascops nudipes	prsowl	Megascops_nudipes	4131251	Megascops nudipes
otu5	Psiloscops flammeolus	flaowl	Psiloscops_flammeolus	178676	Otus flammeolus
otu63	not_a_bird	not_a_bird	Megascops_vermiculatus_roraimae	None	None
otu62	not_a_bird	not_a_bird	Megascops_vermiculatus_napensis	None	None
otu36	not_a_bird	not_a_bird	Megascops_vermiculatus_vermiculatus	None	None
otu60	Megascops guatemalae	vesowl	Megascops_guatemalae	921071	Megascops guatemalae
otu67	not_a_bird	not_a_bird	Megascops_watsonii_watsonii	None	None
otu66	not_a_bird	not_a_bird	Megascops_watsonii_usta	None	None
otu65	Megascops atricapilla	bkcsco1	Megascops_atricapilla	4792	Megascops atricapilla
otu30	Megascops roboratus	persco1	Megascops_roboratus	5857170	Megascops roboratus
otu68	Megascops sanctaecatarinae	lotsco1	Megascops_sanctaecatarinae	5857169	Megascops sanctaecatarinae
otu57	Megascops asio	easowl1	Megascops_asio	570960	Megascops asio
otu58	Megascops kennicottii	wesowl1	Megascops_kennicottii	178680	Megascops kennicottii
otu20	Megascops cooperi	pasowl4	Megascops_cooperi	4131240	Megascops cooperi
otu21	Megascops barbarus	besowl	Megascops_barbarus	4131239	Megascops barbarus
otu51	Megascops ingens	rufsco1	Megascops_ingens_Ecuador	4131250	Megascops ingens
otu52	Megascops ingens	rufsco1	Megascops_ingens_Peru	4131250	Megascops ingens
otu39	no_match	no_match	Megascops_colombianus	4131249	Megascops colombianus
otu56	Megascops petersoni	cinsco1	Megascops_petersoni	5857171	Megascops petersoni
otu55	Megascops hoyi	mofsco1	Megascops_hoyi	4806	Megascops hoyi
otu54	Megascops marshalli	clfsco1	Megascops_marshalli	4131238	Megascops marshalli
otu70	Megascops albogularis	whtsco1	Megascops_albogularis	424112	Megascops albogularis
otu72	Megascops choliba	trsowl	Megascops_choliba	4802	Megascops choliba
otu13	Megascops koepckeae	koesco1	Megascops_koepckeae	851808	Megascops koepckeae
otu74	Megascops clarkii	bssowl	Megascops_clarkii	1027748	Megascops clarkii
otu73	Megascops trichopsis	whsowl1	Megascops_trichopsis	621249	Megascops trichopsis
