otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu20	Pyrrhura melanura	matpar2	Pyrrhura_melanura_1	467016	Pyrrhura melanura
otu21	Pyrrhura albipectus	whnpar1	Pyrrhura_albipectus	442815	Pyrrhura albipectus
otu22	Pyrrhura melanura	matpar2	Pyrrhura_melanura_2	467016	Pyrrhura melanura
otu19	Pyrrhura rupicola	blcpar1	Pyrrhura_rupicola	744927	Pyrrhura rupicola
otu12	Pyrrhura lepida	peapar1	Pyrrhura_lepida	442813	Pyrrhura lepida
otu13	Pyrrhura perlata	crbpar1	Pyrrhura_perlata	442814	Pyrrhura perlata
otu14	Pyrrhura molinae	gncpar	Pyrrhura_molinae	442816	Pyrrhura molinae
otu15	Pyrrhura frontalis	mabpar	Pyrrhura_frontalis	33330	Pyrrhura frontalis
otu16	Pyrrhura rhodocephala	rohpar1	Pyrrhura_rhodocephala	229282	Pyrrhura rhodocephala
otu17	Pyrrhura hoffmanni	suwpar1	Pyrrhura_hoffmanni	442830	Pyrrhura hoffmanni
otu18	Pyrrhura orcesi	elopar1	Pyrrhura_orcesi	466987	Pyrrhura orcesi
otu11	Pyrrhura cruentata	bltpar2	Pyrrhura_cruentata	744928	Pyrrhura cruentata
otu10	no_match	no_match	Pyrrhura_peruviana	968781	Pyrrhura peruviana
otu9	Pyrrhura roseifrons	rofpar3	Pyrrhura_roseifrons	968780	Pyrrhura roseifrons
otu7	no_match	no_match	Pyrrhura_eisenmanni	968775	Pyrrhura eisenmanni
otu6	no_match	no_match	Pyrrhura_emma	968807	Pyrrhura emma
otu5	Pyrrhura picta	paipar1	Pyrrhura_picta	993108	Pyrrhura picta
otu8	Pyrrhura pfrimeri	pfrpar1	Pyrrhura_pfrimeri	316865	Pyrrhura pfrimeri
otu3	no_match	no_match	Pyrrhura_snethlageae	968773	Pyrrhura snethlageae
otu4	Pyrrhura amazonum	sanpar2	Pyrrhura_amazonum	968774	Pyrrhura amazonum
otu2	Pyrrhura griseipectus	gybpar1	Pyrrhura_griseipectus	442820	Pyrrhura griseipectus
otu1	Pyrrhura leucotis	mafpar3	Pyrrhura_leucotis	442821	Pyrrhura leucotis
otu23	Anodorhynchus leari	indmac1	Anodorhynchus_leari	789645	Anodorhynchus leari
