ORIGINAL LABEL, OTT TAXON NAME, OTT TAXON ID
Antigone rubicunda, Antigone rubicunda,7659875
Chrysococcyx minutillus, Chrysococcyx minutillus,7659410
Turacoena sulaensis, Turacoena sulaensis,7659238
Ptilinopus ponapensis, Ptilinopus ponapensis,7659228
Ptilinopus hernsheimi, Ptilinopus hernsheimi,7659226
Macropygia modiglianii, Macropygia modiglianii,7659212
Macropygia macassariensis, Macropygia macassariensis,7659210
Macropygia doreya, Macropygia doreya,7659205
Macropygia cinnamomea, Macropygia cinnamomea,7659204
Alopecoenas stairi, Caloenas stairi,7659142
Anous ceruleus, Anous ceruleus,7659019
Anous albivitta, Anous albivitta,7659018
Schistes albogularis, Schistes albogularis,7658877
Saucerottia tobaci, Saucerottia tobaci,7658876
Saucerottia cyanifrons, Saucerottia cyanifrons,7658871
Saucerottia beryllina, Saucerottia beryllina,7658869
Lophornis stictolophus, Lophornis verreauxi,7658846
Colibri cyanotus, Colibri cyanotus,7658788
Collocalia sumbawae, Collocalia sumbawae,7658715
Collocalia neglecta, Collocalia neglecta,7658712
Collocalia natalis, Collocalia natalis,7658711
Collocalia isonota, Collocalia isonota,7658709
Aviceda madagascariensis, Aviceda madagascariensis,7658528
Aulacorhynchus whitelianus, Aulacorhamphus whitelianus,7658001
Ninox rotiensis, Ninox boobook rotiensis,7068891
Ninox fusca, Ninox boobook fusca,7068888
Eudyptes moseleyi, Eudyptes moseleyi,7068880
Trichoglossus moluccanus, Trichoglossus moluccanus,7068808
Saudareos meyeri, Trichoglossus flavoviridis meyeri,7068793
Saudareos flavoviridis, Trichoglossus flavoviridis flavoviridis,7068792
Procellaria conspicillata, Procellaria conspicillata,7068755
Pachyptila crassirostris, Pachyptila crassirostris,7068753
Hydrobates cheimomnestes, Hydrobates cheimomnestes,7068745
Ochthoeca leucophrys, Ochthoeca leucophrys,7068707
Nephelomyias pulcher, Nephelomyias pulcher,7068706
Nephelomyias lintoni, Nephelomyias lintoni,7068705
Turdus arthuri, Turdus ignobilis arthuri,7068698
Catharus maculatus, Catharus dryas maculatus,7068690
Myrmoderus eowilsoni, Myrmoderus eowilsoni,7068687
Myrmelastes brunneiceps, Myrmelastes brunneiceps,7068686
Zosterops melanurus, Zosterops melanurus,7068672
Zosterops lacertosus, Zosterops lacertosus,7068671
Tephrozosterops stalkeri, Tephrozosterops stalkeri,7068667
Sterrhoptilus nigrocapitatus, Sterrhoptilus nigrocapitatus,7068666
Sterrhoptilus dennistouni, Sterrhoptilus dennistouni,7068665
Sterrhoptilus capitalis, Sterrhoptilus capitalis,7068664
Dasycrotapha plateni, Dasycrotapha plateni,7068663
Mixornis flavicollis, Mixornis flavicollis,7068660
Mixornis bornensis, Mixornis bornensis,7068659
Macronus ptilosus, Macronus ptilosus,7068653
Curruca deserti, Curruca nana,7068651
Pycnonotus pseudosimplex, Pycnonotus pseudosimplex,7068638
Ixos virescens, Ixos virescens,7068636
Arizelocichla montana, Arizelocichla montana,7068635
Phylloscopus maforensis, Seicercus maforensis,7068632
Turdinus macrodactylus, Turdinus macrodactylus,7068627
Schoeniparus variegaticeps, Schoeniparus variegaticeps,7068623
Trochalopteron virgatum, Trochalopteron virgatum,7068604
Trochalopteron morrisonianum, Trochalopteron morrisonianum,7068600
Trochalopteron formosum, Trochalopteron formosum,7068594
Argya subrufa, Argya subrufa,7068535
Argya altirostris, Argya altirostris,7068525
Prinia rocki, Prinia polychroa rocki,7068514
Prinia cooki, Prinia polychroa cooki,7068512
Horornis fortipes, Horornis fortipes,7068504
Emberiza rustica, Emberiza rustica,7068450
Ammospiza leconteii, Ammospiza leconteii,7068415
Chamaetylas poliocephala, Chamaetylas poliocephala,7068385
Brachypteryx sinensis, Brachypteryx sinensis,7068384
Brachypteryx goodfellowi, Brachypteryx goodfellowi,7068381
Brachypteryx cruralis, Brachypteryx cruralis,7068380
Cissomela pectoralis, Cissomela pectoralis,7068375
Sarcophanops steerii, Sarcophanops steerii,7068359
Pachycephala melanorhyncha, Colluricincla megarhyncha melanorhyncha,7068332
Dicrurus sharpei, Dicrurus ludwigii sharpei,7068322
Dicrurus divaricatus, Dicrurus adsimilis divaricatus,7068321
Pica mauritanica, Pica pica mauritanica,7068315
Cantorchilus longirostris, Cantorchilus longirostris,7068223
Ramphocaenus sticturus, Ramphocaenus melanurus sticturus,7068218
Polioptila bilineata, Polioptila bilineata,7068185
Goura sclaterii, Goura sclaterii,7068117
Systellura longirostris, Systellura longirostris,7068108
Oreotrochilus cyanolaemus, Oreotrochilus cyanolaemus,7068104
Collocalia uropygialis, Collocalia uropygialis,7068096
Collocalia affinis, Collocalia affinis,7068093
Mareca marecula, Mareca marecula,6520322
Melanitta stejnegeri, Melanitta stejnegeri,6520321
Ortalis columbiana, Ortalis columbiana,6520320
Ortalis araucuan, Ortalis araucuan,6520319
Ortalis squamata, Ortalis squamata,6520318
Columba thiriouxi, Columba thiriouxi,6520316
Nesoenas duboisi, Nesoenas duboisi,6520315
Nesoenas cicur, Nesoenas cicur,6520314
Nesoenas rodericanus, Nesoenas rodericanus,6520313
Treron axillaris, Treron axillaris,6520312
Treron griveaudi, Treron griveaudi,6520311
Hierococcyx bocki, Hierococcyx bocki,6520310
Systellura decussata, Systellura decussata,6520309
Setopagis heterura, Setopagis heterura,6520308
Urochroa leucura, Urochroa leucura,6520307
Campylopterus calcirupicola, Campylopterus calcirupicola,6520306
Nycticorax mauritianus, Nycticorax mauritianus,6520305
Nycticorax duboisi, Nycticorax duboisi,6520304
Nycticorax megacephalus, Nycticorax megacephalus,6520303
Nyctanassa carcinocatactes, Nyctanassa carcinocatactes,6520302
Bermuteo avivorus, Bermuteo avivorus,6520301
Otus siaoensis, Otus siaoensis,6520300
Otus sulaensis, Otus sulaensis,6520299
Megascops gilesi, Megascops gilesi,6520298
Tyto deroepstorffi, Tyto deroepstorffi,6520297
Psilopogon auricularis, Psilopogon auricularis,6520295
Dinopium psarodes, Dinopium psarodes,6520294
Colaptes oceanicus, Colaptes oceanicus,6520292
Eclectus infectus, Eclectus infectus,6520291
Lophopsittacus mauritianus, Lophopsittacus mauritianus,6520290
Necropsittacus rodricanus, Necopsittacus rodricanus,6520289
Psittacara maugei, Psittacara maugei,6520288
Psittacara labati, Psittacara labati,6520287
Cercomacroides fuscicauda, Cercomacroides fuscicauda,6520286
Myrmothera subcanescens, Myrmothera subcanescens,6520285
Automolus exsertus, Automolus exsertus,6520284
Schiffornis olivacea, Schiffornis olivacea,6520283
Myzomela irianawidodoae, Myzomela irianawidodoae,6520282
Rhipidura sulaensis, Rhipidura sulaensis,6520281
Dicrurus occidentalis, Dicrurus occidentalis,6520280
Dicrurus atactus, Dicrurus atactus,6520279
Pica asirensis, Pica asirensis,6520278
Pica bottanensis, Pica bottanensis,6520277
Pycnonotus snouckaerti, Pycnonotus snouckaerti,6520276
Phylloscopus intensior, Phylloscopus intensior,6520275
Phylloscopus rotiensis, Phylloscopus rotiensis,6520274
Zosterops eurycricotus, Zosterops eurycricotus,6520273
Erythrogenys erythrocnemis, Megapomatorhinus erythrocnemis,6520272
Pterorhinus woodi, Ianthocincla woodi,6520271
Cyornis sumatrensis, Cyornis sumatrensis,6520270
Cyornis pelingensis, Cyornis pelingensis,6520269
Calliope tschebaiewi, Calliope tschebaiewi,6520268
Cinnyris gertrudis, Cinnyris gertrudis,6520267
Passer zarudnyi, Passer zarudnyi,6520266
Emberiza calandra, Emberiza calandra,6520265
Leistes bellicosus, Leistes bellicosus,6520264
Alopochen mauritiana, Alopochen mauritiana,6520262
Alopecoenas ferrugineus, Alopecoenas ferrugineus,6520261
Alopecoenas norfolkensis, Alopecoenas norfolkensis,6520260
Alectroenas payandeei, Alectroenas payandeei,6520259
Celeus ochraceus, Celeus ochraceus,6520258
Stephanoxis loddigesii, Stephanoxis loddigesii,6155517
Oxypogon stuebelii, Oxypogon stubelii,6155494
Oxypogon lindenii, Oxypogon lindenii,6155493
Oxypogon cyanolaemus, Oxypogon cyanolaemus,6155492
Eugenes spectabilis, Eugenes spectabilis,6155459
Anthocephala berlepschi, Anthocephala berlepschi,6155420
Otus jolandae, Otus jolandae,6155348
Ninox spilonotus, Ninox spilonotus,6155337
Ninox rumseyi, Ninox rumseyi,6155336
Ninox reyi, Ninox reyi,6155333
Ninox leventisi, Ninox leventisi,6155329
Aegolius gradyi, Aegolius gradyi,6155275
Hydrobates socorroensis, Hydrobates socorroensis,6155061
Oceanites pincoyae, Oceanites pincoyae,6155057
Dinopium everetti, Dinopium everetti,6154973
Chrysocolaptes guttacristatus, Chrysocolaptes guttacristatus,6154938
Chrysocolaptes erythrocephalus, Chrysocolaptes erythrocephalus,6154937
Psilopogon zeylanicus, Psilopogon zeylanicus,6154915
Psilopogon viridis, Psilopogon viridis,6154914
Psilopogon virens, Psilopogon virens,6154913
Psilopogon rubricapillus, Psilopogon rubricapillus,6154912
Psilopogon rafflesii, Psilopogon rafflesii,6154911
Psilopogon pulcherrimus, Psilopogon pulcherrimus,6154910
Psilopogon mystacophanos, Psilopogon mystacophanos,6154908
Psilopogon monticola, Psilopogon monticola,6154907
Psilopogon malabaricus, Psilopogon malabaricus,6154906
Psilopogon lineatus, Psilopogon lineatus,6154905
Psilopogon lagrandieri, Psilopogon lagrandieri,6154904
Psilopogon javensis, Psilopogon javensis,6154903
Psilopogon incognitus, Psilopogon incognitus,6154902
Psilopogon henricii, Psilopogon henricii,6154901
Psilopogon franklinii, Psilopogon franklinii,6154899
Psilopogon flavifrons, Psilopogon flavifrons,6154898
Psilopogon faiostrictus, Psilopogon faiostrictus,6154897
Psilopogon faber, Psilopogon faber,6154896
Psilopogon eximius, Psilopogon eximius,6154895
Psilopogon duvaucelii, Psilopogon duvaucelii,6154894
Psilopogon corvinus, Psilopogon corvinus,6154893
Psilopogon chrysopogon, Psilopogon chrysopogon,6154891
Psilopogon chersonesus, Psilopogon chersonesus,6154890
Psilopogon australis, Psilopogon australis,6154889
Psilopogon asiaticus, Psilopogon asiaticus,6154888
Psilopogon armillaris, Psilopogon armillaris,6154887
Psilopogon annamensis, Psilopogon annamensis,6154886
Zosterops ponapensis, Zosterops ponapensis,6154690
Zosterops comorensis, Zosterops comorensis,6154676
Zosterops aldabrensis, Zosterops aldabrensis,6154673
