ORIGINAL LABEL, OTT TAXON NAME, OTT TAXON ID
Trochalopteron yersini, Trochalopteron yersini,3598470
Melanocichla lugubris, Garrulax lugubris,3598469
Stachyris nonggangensis, Stachyris nonggangensis,3598461
Zosterornis nigrorum, Zosterornis nigrorum,3598459
Stachyris herberti, Stachyris herberti,3598457
Erythrogenys gravivox, Erythrogenys gravivox,3598455
Pomatorhinus melanurus, Pomatorhinus melanurus,3598453
Pellorneum palustre, Pellorneum palustre,3598451
Pellorneum fuscocapillus, Pellorneum fuscocapillus,3598449
Pellorneum buettikoferi, Pellorneum buettikoferi,3598448
Staphida torqueola, Yuhina torqueola,3598447
Yuhina humilis, Yuhina humilis,3598446
Spelaeornis caudatus, Spelaeornis caudatus,3598445
Spelaeornis badeigularis, Spelaeornis badeigularis,3598444
Spelaeornis longicaudatus, Spelaeornis longicaudatus,3598443
Spelaeornis oatesi, Spelaeornis oatesi,3598442
Spelaeornis reptatus, Spelaeornis reptatus,3598441
Elachura formosa, Spelaeornis formosus,3598440
Spelaeornis kinneari, Spelaeornis kinneari,3598439
Mixornis kelleyi, Macronus kelleyi,3598438
Alcippe davidi, Alcippe davidi,3598435
Alcippe hueti, Alcippe hueti,3598434
Alcippe fratercula, Alcippe fratercula,3598433
Fulvetta ludlowi, Alcippe ludlowi,3598432
Alcippe pyrrhoptera, Alcippe pyrrhoptera,3598431
Schoeniparus klossi, Alcippe klossi,3598427
Actinodura sodangorum, Actinodura sodangorum,3598425
Lipaugus conditus, Tijuca condita,3598424
Phytotoma raimondii, Phytotoma raimondii,3598423
Carpodectes nitidus, Carpodectes nitidus,3598422
Carpodectes antoniae, Carpodectes antoniae,3598421
Cephalopterus penduliger, Cephalopterus penduliger,3598420
Iodopleura pipra, Iodopleura pipra,3598419
Lipaugus lanioides, Lipaugus lanioides,3598417
Lipaugus weberi, Lipaugus weberi,3598416
Lipaugus uropygialis, Lipaugus uropygialis,3598415
Xipholena lamellipennis, Xipholena lamellipennis,3598414
Chloropipo flavicapilla, Chloropipo flavicapilla,3598413
Cryptopipo holochlora, Cryptopipo holochlora,3598411
Pipreola jucunda, Pipreola jucunda,3598410
Pipreola aureopectus, Pipreola aureopectus,3598409
Pipreola formosa, Pipreola formosa,3598408
Pipreola lubomirskii, Pipreola lubomirskii,3598407
Pipreola riefferii, Pipreola riefferii,3598406
Procnias averano, Procnias averano,3598405
Cotinga nattererii, Cotinga nattererii,3598404
Cotinga maculata, Cotinga maculata,3598403
Cotinga amabilis, Cotinga amabilis,3598402
Cotinga ridgwayi, Cotinga ridgwayi,3598401
Doliornis remseni, Doliornis remseni,3598400
Carpornis cucullata, Carpornis cucullata,3598399
Thripophaga macroura, Thripophaga macroura,3598388
Asthenes palpebralis, Asthenes palpebralis,3598386
Asthenes moreirae, Asthenes moreirae,3598383
Asthenes perijana, Asthenes perijana,3598382
Asthenes coryi, Asthenes coryi,3598381
Asthenes heterura, Asthenes heterura,3598379
Asthenes griseomurina, Asthenes griseomurina,3598377
Asthenes harterti, Asthenes harterti,3598376
Synallaxis fuscorufa, Synallaxis fuscorufa,3598374
Synallaxis beverlyae, Synallaxis beverlyae,3598372
Upucerthia saturatior, Upucerthia saturatior,3598370
Pseudoseisura cristata, Pseudoseisura cristata,3598369
Philydor novaesi, Philydor novaesi,3598368
Aphrastura masafuerae, Aphrastura masafuerae,3598367
Atrichornis rufescens, Atrichornis rufescens,3598363
Climacteris affinis, Climacteris affinis,3598361
Climacteris melanurus, Climacteris melanurus,3598360
Phyllastrephus poliocephalus, Phyllastrephus poliocephalus,3598354
Phyllastrephus fulviventris, Phyllastrephus fulviventris,3598349
Phyllastrephus baumanni, Phyllastrephus baumanni,3598347
Phyllastrephus albigula, Phyllastrephus albigula,3598345
Iole indica, Acritillas indica,3598344
Spizixos canifrons, Spizixos canifrons,3598336
Rubigula flaviventris, Pycnonotus flaviventris,3598335
Rubigula dispar, Pycnonotus dispar,3598333
Nok hualon, Pycnonotus hualon,3598332
Pycnonotus tympanistrigus, Pycnonotus tympanistrigus,3598331
Pycnonotus striatus, Pycnonotus striatus,3598330
Rubigula gularis, Pycnonotus gularis,3598329
Pycnonotus leucogrammicus, Pycnonotus leucogrammicus,3598328
Pycnonotus luteolus, Pycnonotus luteolus,3598327
Pycnonotus nieuwenhuisii, Pycnonotus nieuwenhuisii,3598326
Pycnonotus aurigaster, Pycnonotus aurigaster,3598325
Pycnonotus xantholaemus, Pycnonotus xantholaemus,3598324
Pycnonotus leucotis, Pycnonotus leucotis,3598322
Pycnonotus cinereifrons, Pycnonotus cinereifrons,3598320
Pycnonotus penicillatus, Pycnonotus penicillatus,3598318
Pycnonotus bimaculatus, Pycnonotus bimaculatus,3598317
Brachypodius priocephalus, Brachypodius priocephalus,3598316
Rubigula montis, Pycnonotus montis,3598314
Hypsipetes mindorensis, Hypsipetes mindorensis,3598313
Hypsipetes moheliensis, Hypsipetes moheliensis,3598311
Hypsipetes ganeesa, Hypsipetes ganeesa,3598308
Hypsipetes nicobariensis, Ixos nicobariensis,3598307
Hypsipetes thompsoni, Cerasophila thompsoni,3598305
Iole viridescens, Iole viridescens,3598303
Hypsipetes guimarasensis, Hypsipetes guimarasensis,3598302
Nicator gularis, Nicator gularis,3598301
Chlorocichla falkensteini, Chlorocichla falkensteini,3598300
Chlorocichla simplex, Chlorocichla simplex,3598299
Heleia dohertyi, Lophozosterops dohertyi,3598295
Heleia pinaiae, Lophozosterops pinaiae,3598294
Heleia muelleri, Heleia muelleri,3598292
Zosterops meyeni, Zosterops meyeni,3598291
Zosterops stalkeri, Zosterops stalkeri,3598290
Zosterops grayi, Zosterops grayi,3598289
Zosterops sanctaecrucis, Zosterops sanctaecrucis,3598288
Zosterops uropygialis, Zosterops uropygialis,3598287
Zosterops consobrinorum, Zosterops consobrinorum,3598285
Zosterops flavus, Zosterops flavus,3598284
Zosterops ceylonensis, Zosterops ceylonensis,3598282
Zosterops hypoxanthus, Zosterops hypoxanthus,3598281
Zosterops minor, Zosterops minor,3598280
Zosterops nehrkorni, Zosterops nehrkorni,3598277
Zosterops somadikartai, Zosterops somadikartai,3598275
Zosterops samoensis, Zosterops samoensis,3598272
Zosterops atriceps, Zosterops atriceps,3598271
Zosterops mysorensis, Zosterops mysorensis,3598269
Zosterops natalis, Zosterops natalis,3598264
Zosterops meeki, Zosterops meeki,3598261
Zosterops vaughani, Zosterops vaughani,3598260
Zosterops anomalus, Zosterops anomalus,3598258
Zosterops finschii, Zosterops finschii,3598257
Zosterops novaeguineae, Zosterops novaeguineae,3598255
Zosterops buruensis, Zosterops buruensis,3598254
Zosterops everetti, Zosterops everetti,3598253
Zosterops kuehni, Zosterops kuehni,3598252
Muscicapa epulata, Muscicapa epulata,3598249
Muscicapa randi, Muscicapa randi,3598248
Muscicapa segregata, Muscicapa segregata,3598243
Cichladusa ruficauda, Cichladusa ruficauda,3598238
Cichladusa arquata, Cichladusa arquata,3598237
Vauriella albigularis, Rhinomyias albigularis,3598230
Oenanthe lugentoides, Oenanthe lugentoides,3598218
Melaenornis brunneus, Melaenornis brunneus,3598213
Melaenornis fischeri, Melaenornis fischeri,3598212
Melaenornis chocolatinus, Melaenornis chocolatinus,3598211
Melaenornis annamarulae, Melaenornis annamarulae,3598210
Copsychus albiventris, Copsychus albiventris,3598208
Copsychus fulicatus, Copsychus fulicatus,3598207
Copsychus mindanensis, Copsychus mindanensis,3598206
Agricola pallidus, Bradornis pallidus,3598205
Enicurus velatus, Enicurus velatus,3598202
Paradoxornis flavirostris, Paradoxornis flavirostris,3598200
Sinosuthora przewalskii, Sinosuthora przewalskii,3598199
Cyornis umbratilis, Cyornis umbratilis,3598198
Cyornis glaucicomans, Cyornis glaucicomans,3598197
Cyornis magnirostris, Cyornis magnirostris,3598194
Cyornis herioti, Cyornis herioti,3598193
Cyornis superbus, Cyornis superbus,3598192
Cyornis brunneatus, Rhinomyias brunneatus,3598191
Cyornis omissus, Cyornis omissus,3598190
Cyornis nicobaricus, Cyornis nicobaricus,3598189
Cyornis hyacinthinus, Cyornis hyacinthinus,3598188
Cyornis caerulatus, Cyornis caerulatus,3598187
Cyornis ruckii, Cyornis ruckii,3598186
Cyornis turcosus, Cyornis turcosus,3598185
Cyornis sanfordi, Cyornis sanfordi,3598184
Cyornis pallidipes, Cyornis pallidipes,3598183
Cyornis ruficauda, Cyornis ruficauda,3598181
Cyornis colonus, Cyornis colonus,3598180
Cyornis tickelliae, Cyornis tickelliae,3598179
Cyornis hoevelli, Cyornis hoevelli,3598178
Cyornis lemprieri, Cyornis lemprieri,3598177
Cyornis oscillans, Cyornis oscillans,3598176
Eumyias sordidus, Eumyias sordidus,3598173
Eumyias albicaudatus, Eumyias albicaudatus,3598171
Eumyias additus, Eumyias additus,3598170
Myophonus insularis, Myophonus insularis,3598169
Myophonus borneensis, Myophonus borneensis,3598168
Myophonus castaneus, Myophonus castaneus,3598167
Myophonus robinsoni, Myophonus robinsoni,3598166
Myophonus horsfieldii, Myophonus horsfieldii,3598165
Myophonus blighi, Myophonus blighi,3598164
Cercotrichas signata, Cercotrichas signata,3598163
Cossypha heinrichi, Cossypha heinrichi,3598160
Phoenicurus alaschanicus, Phoenicurus alaschanicus,3598157
Cochoa purpurea, Cochoa purpurea,3598148
Cochoa azurea, Cochoa azurea,3598147
Cochoa beccarii, Cochoa beccarii,3598146
Ficedula basilanica, Ficedula basilanica,3598140
Ficedula riedeli, Ficedula riedeli,3598139
Ficedula elisae, Ficedula elisae,3598138
Anthipes solitaris, Anthipes solitaris,3598137
Ficedula henrici, Ficedula henrici,3598136
Niltava sumatrana, Niltava sumatrana,3598135
Acrocephalus rodericanus, Acrocephalus rodericanus,3598133
Acrocephalus sorghophilus, Acrocephalus sorghophilus,3598132
Urosphena subulata, Urosphena subulata,3598126
Sylvietta isabellina, Sylvietta isabellina,3598123
Sylvietta philippae, Sylvietta philippae,3598122
Sylvietta ruficapilla, Sylvietta ruficapilla,3598121
Nesillas longicaudata, Nesillas longicaudata,3598118
Nesillas lantzii, Nesillas lantzii,3598117
Nesillas aldabrana, Nesillas aldabrana,3598116
Nesillas mariae, Nesillas mariae,3598115
Nesillas brevicaudata, Nesillas brevicaudata,3598114
Eremomela canescens, Eremomela canescens,3598113
Eremomela salvadorii, Eremomela salvadorii,3598112
Eremomela flavicrissalis, Eremomela flavicrissalis,3598111
Eremomela atricollis, Eremomela atricollis,3598110
Eremomela turneri, Eremomela turneri,3598109
Eremomela icteropygialis, Eremomela icteropygialis,3598108
Eremomela badiceps, Eremomela badiceps,3598107
Eremomela usticollis, Eremomela usticollis,3598106
Eremomela scotops, Eremomela scotops,3598105
Phylloscopus makirensis, Seicercus makirensis,3598100
Phylloscopus budongoensis, Seicercus budongoensis,3598099
Phylloscopus subviridis, Phylloscopus subviridis,3598095
Phylloscopus neglectus, Phylloscopus neglectus,3598094
Phylloscopus herberti, Seicercus herberti,3598093
Bradypterus grandis, Bradypterus grandis,3598091
Locustella alfredi, Locustella alfredi,3598089
Locustella accentor, Locustella accentor,3598088
Elaphrornis palliseri, Elaphrornis palliseri,3598087
Locustella seebohmi, Locustella seebohmi,3598086
Bradypterus seebohmi, Locustella seebohmi,3598086
Macrosphenus kempi, Macrosphenus kempi,3598081
Macrosphenus concolor, Macrosphenus concolor,3598080
Macrosphenus pulitzeri, Macrosphenus pulitzeri,3598079
Poodytes rufescens, Poodytes rufescens,3598078
Poodytes albolimbatus, Megalurus albolimbatus,3598077
Cincloramphus macrurus, Cincloramphus macrurus,3598076
Schoenicola platyurus, Schoenicola platyurus,3598074
Curruca deserti, Sylvia deserti,3598069
Rhabdornis grandis, Rhabdornis grandis,3598064
Hylophilus flavipes, Hylophilus flavipes,3598063
Pachysylvia semibrunnea, Hylophilus semibrunneus,3598062
Pachysylvia aurantiifrons, Hylophilus aurantiifrons,3598061
Hylophilus olivaceus, Hylophilus olivaceus,3598060
Hylophilus brunneiceps, Hylophilus brunneiceps,3598059
Hylophilus amaurocephalus, Hylophilus amaurocephalus,3598058
Vireo osburni, Vireo osburni,3598057
Vireo brevipennis, Vireo brevipennis,3598055
Vireo gracilirostris, Vireo gracilirostris,3598054
Vireo magister, Vireo magister,3598053
Vireo nelsoni, Vireo nelsoni,3598052
Vireo gundlachii, Vireo gundlachii,3598051
Vireo masteri, Vireo masteri,3598050
Vireo caribaeus, Vireo caribaeus,3598048
Vireo hypochryseus, Vireo hypochryseus,3598047
Vireo pallens, Vireo pallens,3598046
Vireo bairdi, Vireo bairdi,3598045
Cyclarhis nigrirostris, Cyclarhis nigrirostris,3598044
Vireolanius pulchellus, Vireolanius pulchellus,3598043
Vireolanius eximius, Vireolanius eximius,3598042
Urocissa caerulea, Urocissa caerulea,3598041
Urocissa ornata, Urocissa ornata,3598040
Urocissa whiteheadi, Urocissa whiteheadi,3598039
Cissa thalassina, Cissa thalassina,3598037
Cissa hypoleuca, Cissa hypoleuca,3598036
Podoces pleskei, Podoces pleskei,3598031
Podoces panderi, Podoces panderi,3598030
Crypsirina cucullata, Crypsirina cucullata,3598029
Dendrocitta occipitalis, Dendrocitta occipitalis,3598028
Dendrocitta cinerascens, Dendrocitta cinerascens,3598026
Dendrocitta bayleii, Dendrocitta bayleii,3598025
Dendrocitta leucogastra, Dendrocitta leucogastra,3598024
Oriolus decipiens, Oriolus decipiens,3598023
Oriolus crassirostris, Oriolus crassirostris,3598022
Artamus insignis, Artamus insignis,3598018
Artamus mentalis, Artamus mentalis,3598017
Artamus monachus, Artamus monachus,3598014
Coracina cucullata, Coracina cucullata,3598001
Celebesia parvula, Edolisoma parvulum,3597998
Coracina personata, Coracina personata,3597997
Coracina dobsoni, Coracina dobsoni,3597996
Coracina fortis, Coracina fortis,3597995
Edolisoma schisticeps, Edolisoma schisticeps,3597994
Coracina javensis, Coracina javensis,3597993
Edolisoma melas, Edolisoma melas,3597992
Pericrocotus albifrons, Pericrocotus albifrons,3597991
Lobotos lobatus, Lobotos lobatus,3597989
Campephaga quiscalina, Campephaga quiscalina,3597988
Campephaga phoenicea, Campephaga phoenicea,3597987
Lalage moesta, Lalage moesta,3597986
Lalage conjuncta, Lalage conjuncta,3597985
Lalage aurea, Lalage aurea,3597984
Grallina bruijnii, Grallina bruijnii,3597979
Myiagra atra, Myiagra atra,3597975
Myiagra cervinicauda, Myiagra cervinicauda,3597974
Myiagra erythrops, Myiagra erythrops,3597973
Myiagra galeata, Myiagra galeata,3597972
Myiagra freycineti, Myiagra freycineti,3597971
Myiagra ruficollis, Myiagra ruficollis,3597970
Myiagra oceanica, Myiagra oceanica,3597969
Myiagra nana, Myiagra nana,3597968
Myiagra azureocapilla, Myiagra azureocapilla,3597967
Myiagra albiventris, Myiagra albiventris,3597966
Myiagra vanikorensis, Myiagra vanikorensis,3597965
Myiagra pluto, Myiagra pluto,3597964
Clytorhynchus nigrogularis, Clytorhynchus nigrogularis,3597963
Clytorhynchus vitiensis, Clytorhynchus vitiensis,3597962
Clytorhynchus sanctaecrucis, Clytorhynchus sanctaecrucis,3597961
Mayrornis schistaceus, Mayrornis schistaceus,3597960
Mayrornis versicolor, Mayrornis versicolor,3597959
Arses kaupi, Arses kaupi,3597958
Arses insularis, Arses insularis,3597957
Arses lorealis, Arses lorealis,3597955
Pomarea pomarea, Pomarea pomarea,3597952
Batis minima, Batis minima,3597950
Batis orientalis, Batis orientalis,3597949
Batis senegalensis, Batis senegalensis,3597947
Batis minulla, Batis minulla,3597946
Batis perkeo, Batis perkeo,3597945
Batis ituriensis, Batis ituriensis,3597944
Batis fratrum, Batis fratrum,3597943
Batis occulta, Batis occulta,3597941
Batis margaritae, Batis margaritae,3597940
Prionops alberti, Prionops alberti,3597933
Prionops caniceps, Prionops caniceps,3597932
Prionops gabela, Prionops gabela,3597931
Prionops poliolophus, Prionops poliolophus,3597930
Prionops rufiventris, Prionops rufiventris,3597929
Tephrodornis affinis, Tephrodornis affinis,3597926
Tephrodornis sylvicola, Tephrodornis sylvicola,3597925
Psophodes cristatus, Psophodes cristatus,3597923
Psophodes occidentalis, Psophodes occidentalis,3597922
Psophodes nigrogularis, Psophodes nigrogularis,3597921
Ptilorrhoa geislerorum, Ptilorrhoa geislerorum,3597917
Daphoenositta miranda, Daphoenositta miranda,3597911
Daphoenositta papuensis, Daphoenositta papuensis,3597910
Turnagra tanagra, Turnagra tanagra,3597909
Psaltria exilis, Psaltria exilis,3597907
Aegithina nigrolutea, Aegithina nigrolutea,3597905
Aegithina viridissima, Aegithina viridissima,3597904
Aegithina lafresnayei, Aegithina lafresnayei,3597903
Tchagra jamesi, Tchagra jamesi,3597901
Tchagra tchagra, Tchagra tchagra,3597899
Malaconotus gladiator, Malaconotus gladiator,3597897
Malaconotus cruentus, Malaconotus cruentus,3597896
Malaconotus lagdeni, Malaconotus lagdeni,3597895
Malaconotus monteiri, Malaconotus monteiri,3597894
Dryoscopus sabini, Dryoscopus sabini,3597893
Dryoscopus senegalensis, Dryoscopus senegalensis,3597892
Dryoscopus angolensis, Dryoscopus angolensis,3597891
Dryoscopus pringlii, Dryoscopus pringlii,3597890
Telophorus olivaceus, Chlorophoneus olivaceus,3597889
Telophorus viridis, Telophorus viridis,3597888
Telophorus kupeensis, Chlorophoneus kupeensis,3597887
Telophorus multicolor, Chlorophoneus multicolor,3597886
Laniarius amboimensis, Laniarius amboimensis,3597882
Laniarius brauni, Laniarius brauni,3597880
Lanius humeralis, Lanius humeralis,3597876
Lanius phoenicuroides, Lanius phoenicuroides,3597875
Lanius gubernator, Lanius gubernator,3597874
Eurocephalus ruppelli, Eurocephalus ruppelli,3597872
Lanius melanoleucus, Urolestes melanoleucus,3597871
Parotia berlepschi, Parotia berlepschi,3597869
Callaeas wilsoni, Callaeas wilsoni,3597860
Erythrocercus livingstonei, Erythrocercus livingstonei,3597852
Erythrocercus holochlorus, Erythrocercus holochlorus,3597851
Rhipidura lepida, Rhipidura lepida,3597850
Rhipidura superflua, Rhipidura superflua,3597848
Rhipidura maculipectus, Rhipidura maculipectus,3597847
Rhipidura kubaryi, Rhipidura kubaryi,3597846
Rhipidura nebulosa, Rhipidura nebulosa,3597845
Rhipidura opistherythra, Rhipidura opistherythra,3597844
Rhipidura phoenicura, Rhipidura phoenicura,3597843
Rhipidura semirubra, Rhipidura semirubra,3597842
Rhipidura drownei, Rhipidura drownei,3597841
Rhipidura matthiae, Rhipidura matthiae,3597840
Rhipidura malaitae, Rhipidura malaitae,3597839
Rhipidura albogularis, Rhipidura albogularis,3597837
Rhipidura euryura, Rhipidura euryura,3597836
Rhipidura personata, Rhipidura personata,3597835
Rhipidura dedemi, Rhipidura dedemi,3597834
Dicrurus lophorinus, Dicrurus lophorinus,3597833
Dicrurus densus, Dicrurus densus,3597832
Dicrurus andamanensis, Dicrurus andamanensis,3597831
Dicrurus sumatranus, Dicrurus sumatranus,3597830
Dicrurus montanus, Dicrurus montanus,3597829
Dicrurus menagei, Dicrurus menagei,3597828
Cecropis hyperythra, Cecropis hyperythra,3597822
Cecropis badia, Cecropis badia,3597821
Psalidoprocne pristoptera, Psalidoprocne pristoptera,3597815
Riparia chinensis, Riparia chinensis,3597806
Atronanus fuliginosus, Petrochelidon fuliginosa,3597799
Hirundo domicola, Hirundo domicola,3597796
Cecropis senegalensis, Cecropis senegalensis,3597792
Petrochelidon perdita, Petrochelidon perdita,3597781
Dicaeum quadricolor, Dicaeum quadricolor,3597780
Dicaeum nitidum, Dicaeum nitidum,3597779
Dicaeum retrocinctum, Dicaeum retrocinctum,3597778
Dicaeum vulneratum, Dicaeum vulneratum,3597777
Dicaeum minullum, Dicaeum minullum,3597775
Dicaeum nehrkorni, Dicaeum nehrkorni,3597774
Dicaeum schistaceiceps, Dicaeum schistaceiceps,3597773
Dicaeum vincens, Dicaeum vincens,3597772
Dicaeum erythrothorax, Dicaeum erythrothorax,3597771
Dicaeum maugei, Dicaeum maugei,3597770
Dicaeum annae, Dicaeum annae,3597768
Dicaeum virescens, Dicaeum virescens,3597767
Dicaeum erythrorhynchos, Dicaeum erythrorhynchos,3597766
Dicaeum trochileum, Dicaeum trochileum,3597765
Dicaeum proprium, Dicaeum proprium,3597764
Dicaeum haematostictum, Dicaeum haematostictum,3597763
Quelea erythrops, Quelea erythrops,3597756
Ploceus nigrimentus, Ploceus nigrimentus,3597755
Ploceus castaneiceps, Ploceus castaneiceps,3597754
Ploceus olivaceiceps, Ploceus olivaceiceps,3597753
Ploceus bannermani, Ploceus bannermani,3597752
Ploceus aureonucha, Ploceus aureonucha,3597749
Ploceus princeps, Ploceus princeps,3597748
Ploceus temporalis, Ploceus temporalis,3597747
Ploceus batesi, Ploceus batesi,3597746
Ploceus badius, Ploceus badius,3597745
Ploceus reichardi, Ploceus reichardi,3597744
Ploceus megarhynchus, Ploceus megarhynchus,3597743
Ploceus burnieri, Ploceus burnieri,3597741
Ploceus subaureus, Ploceus subaureus,3597740
Ploceus xanthopterus, Ploceus xanthopterus,3597739
Ploceus nicolli, Ploceus nicolli,3597738
Ploceus golandi, Ploceus golandi,3597737
Malimbus racheliae, Malimbus racheliae,3597736
Malimbus ballmanni, Malimbus ballmanni,3597734
Malimbus erythrogaster, Malimbus erythrogaster,3597733
Malimbus malimbicus, Malimbus malimbicus,3597732
Malimbus ibadanensis, Malimbus ibadanensis,3597731
Malimbus scutatus, Malimbus scutatus,3597730
Pseudonigrita cabanisi, Pseudonigrita cabanisi,3597729
Sporopipes squamifrons, Sporopipes squamifrons,3597728
Vidua togoensis, Vidua togoensis,3597725
Parmoptila rubrifrons, Parmoptila rubrifrons,3597724
Nigrita fusconotus, Nigrita fusconotus,3597721
Nigrita luteifrons, Nigrita luteifrons,3597720
Lagonosticta landanae, Lagonosticta landanae,3597719
Paludipasser locustella, Paludipasser locustella,3597717
Brunhilda charmosyna, Estrilda charmosyna,3597714
Estrilda poliopareia, Estrilda poliopareia,3597713
Estrilda kandti, Estrilda kandti,3597712
Glaucestrilda thomensis, Estrilda thomensis,3597711
Estrilda rufibarba, Estrilda rufibarba,3597709
Nesocharis ansorgei, Nesocharis ansorgei,3597708
Pyrenestes minor, Pyrenestes minor,3597707
Stagonopleura bella, Stagonopleura bella,3597705
Stagonopleura oculata, Stagonopleura oculata,3597704
Spermophaga ruficapilla, Spermophaga ruficapilla,3597703
Spermophaga poliogenys, Spermophaga poliogenys,3597702
Lonchura fuscans, Lonchura fuscans,3597698
Lonchura nigerrima, Lonchura nigerrima,3597695
Lonchura montana, Lonchura montana,3597693
Lonchura grandis, Lonchura grandis,3597690
Lonchura molucca, Lonchura molucca,3597689
Lonchura caniceps, Lonchura caniceps,3597688
Lonchura vana, Lonchura vana,3597687
Lonchura stygia, Lonchura stygia,3597685
Lonchura nevermanni, Lonchura nevermanni,3597684
Lonchura melaena, Lonchura melaena,3597683
Lonchura teerinki, Lonchura teerinki,3597682
Lonchura spectabilis, Lonchura spectabilis,3597681
Lonchura forbesi, Lonchura forbesi,3597680
Lonchura monticola, Lonchura monticola,3597679
Lonchura hunsteini, Lonchura hunsteini,3597678
Lonchura flaviprymna, Lonchura flaviprymna,3597677
Cryptospiza salvadorii, Cryptospiza salvadorii,3597676
Cryptospiza jacksoni, Cryptospiza jacksoni,3597675
Erythrura coloria, Erythrura coloria,3597674
Erythrura viridifacies, Erythrura viridifacies,3597673
Erythrura kleinschmidti, Erythrura kleinschmidti,3597672
Erythrura regia, Erythrura regia,3597671
Erythrura pealii, Erythrura pealii,3597670
Erythrura cyaneovirens, Erythrura cyaneovirens,3597669
Erythrura papuana, Erythrura papuana,3597668
Cinnyris solaris, Cinnyris solaris,3597666
Dreptes thomensis, Dreptes thomensis,3597665
Cinnyris prigoginei, Cinnyris prigoginei,3597663
Cinnyris buettikoferi, Cinnyris buettikoferi,3597662
Cinnyris johannae, Cinnyris johannae,3597661
Cinnyris neergaardi, Cinnyris neergaardi,3597659
Chalcomitra amethystina, Chalcomitra amethystina,3597658
Cinnyris oustaleti, Cinnyris oustaleti,3597657
Leptocoma zeylonica, Leptocoma zeylonica,3597655
Nectarinia purpureiventris, Nectarinia purpureiventris,3597652
Cinnyris ursulae, Cinnyris ursulae,3597651
Cinnyris manoensis, Cinnyris manoensis,3597648
Cinnyris shelleyi, Cinnyris shelleyi,3597647
Cinnyris lotenius, Cinnyris lotenius,3597645
Leptocoma minima, Leptocoma minima,3597642
Anabathmis hartlaubii, Anabathmis hartlaubii,3597640
Nectarinia famosa, Nectarinia famosa,3597639
Cyanomitra bannermani, Cyanomitra bannermani,3597638
Cinnyris congensis, Cinnyris congensis,3597637
Nectarinia tacazze, Nectarinia tacazze,3597636
Nectarinia bocagii, Nectarinia bocagii,3597635
Cinnyris fuscus, Cinnyris fuscus,3597634
Cinnyris nectarinioides, Cinnyris nectarinioides,3597633
Cinnyris ludovicensis, Cinnyris ludovicensis,3597632
Chalcomitra rubescens, Chalcomitra rubescens,3597631
Chalcomitra hunteri, Chalcomitra hunteri,3597630
Drepanorhynchus reichenowi, Drepanorhynchus reichenowi,3597629
Anthobaphes violacea, Anthobaphes violacea,3597628
Nectarinia johnstoni, Nectarinia johnstoni,3597627
Cinnyris batesi, Cinnyris batesi,3597626
Cinnyris rockefelleri, Cinnyris rockefelleri,3597624
Cinnyris osea, Cinnyris osea,3597623
Cinnyris fuelleborni, Cinnyris fuelleborni,3597622
Cinnyris coccinigastrus, Cinnyris coccinigastrus,3597621
Cyanomitra veroxii, Cyanomitra veroxii,3597619
Cinnyris habessinicus, Cinnyris habessinicus,3597618
Cinnyris pembae, Cinnyris pembae,3597614
Leptocoma calcostetha, Leptocoma calcostetha,3597612
Cinnyris bifasciatus, Cinnyris bifasciatus,3597611
Anabathmis newtonii, Anabathmis newtonii,3597610
Anthreptes rubritorques, Anthreptes rubritorques,3597609
Anthreptes aurantius, Anthreptes aurantius,3597608
Anthreptes griseigularis, Anthreptes griseigularis,3597607
Anthreptes neglectus, Anthreptes neglectus,3597606
Hedydipna pallidigaster, Hedydipna pallidigaster,3597603
Anthreptes reichenowi, Anthreptes reichenowi,3597602
Anthreptes gabonicus, Anthreptes gabonicus,3597601
Anthreptes anchietae, Anthreptes anchietae,3597600
Hedydipna platura, Hedydipna platura,3597598
Anthreptes simplex, Anthreptes simplex,3597597
Anthreptes rhodolaemus, Anthreptes rhodolaemus,3597596
Hedydipna metallica, Hedydipna metallica,3597595
Anthreptes longuemarei, Anthreptes longuemarei,3597594
Deleornis axillaris, Deleornis axillaris,3597593
Aethopyga temminckii, Aethopyga temminckii,3597592
Aethopyga gouldiae, Aethopyga gouldiae,3597591
Aethopyga pulcherrima, Aethopyga pulcherrima,3597590
Aethopyga bella, Aethopyga bella,3597589
Aethopyga linaraborae, Aethopyga linaraborae,3597588
Aethopyga shelleyi, Aethopyga shelleyi,3597587
Aethopyga eximia, Aethopyga eximia,3597585
Aethopyga mystacalis, Aethopyga mystacalis,3597584
Aethopyga vigorsii, Aethopyga vigorsii,3597583
Heteromirafra archeri, Heteromirafra archeri,3597581
Heteromirafra ruddi, Heteromirafra ruddi,3597579
Calendulauda africanoides, Calendulauda africanoides,3597578
Calendulauda barlowi, Calendulauda barlowi,3597575
Ramphocoris clotbey, Ramphocoris clotbey,3597571
Pinarocorys erythropygia, Pinarocorys erythropygia,3597568
Calendulauda poecilosterna, Calendulauda poecilosterna,3597565
Pinarocorys nigricans, Pinarocorys nigricans,3597564
Calendulauda burra, Calendulauda burra,3597561
Calendulauda alopex, Calendulauda alopex,3597559
Melanocorypha yeltoniensis, Melanocorypha yeltoniensis,3597558
Melanocorypha maxima, Melanocorypha maxima,3597557
Alauda leucoptera, Melanocorypha leucoptera,3597556
Eremopterix griseus, Eremopterix griseus,3597555
Eremopterix signatus, Eremopterix signatus,3597554
