Name,Ott_Taxon_name,OTT TAXON ID
Buteo leucorrhous,Parabuteo leucorrhous,6151524
Parotia helenae,Parotia lawesii,762097
Passer rutilans,Passer cinnamomeus,7661508
Trichastoma bicolor,Pellorneum bicolor,6154368
Phasianus versicolor,Phasianus colchicus,102719
Calliphlox mitchellii,Philodice mitchellii,716195
Pyrrhurus scandens,Phyllastrephus scandens,647945
Seicercus burkii,Phylloscopus burkii,7661959
Seicercus castaniceps,Phylloscopus castaniceps,7661961
Phylloscopus davisoni,Phylloscopus intensior,6520275
Seicercus affinis,Phylloscopus intermedius,7661965
Seicercus omeiensis,Phylloscopus omeiensis,7661966
Seicercus poliogenys,Phylloscopus poliogenys,7661968
Seicercus soror,Phylloscopus soror,7661971
Seicercus tephrocephalus,Phylloscopus tephrocephalus,7661972
Seicercus valentini,Phylloscopus valentini,7661974
Seicercus whistleri,Phylloscopus whistleri,7661975
Hemispingus rufosuperciliaris,Poospiza rufosuperciliaris,7662385
Saroglossa spiloptera,Psaroglossa spiloptera,7663542
Megalaima asiatica,Psilopogon asiaticus,6154888
Megalaima chrysopogon,Psilopogon chrysopogon,6154891
Megalaima franklinii,Psilopogon franklinii,6154899
Megalaima lineata,Psilopogon lineatus,6154905
Megalaima monticola,Psilopogon monticola,6154907
Megalaima mystacophanos,Psilopogon mystacophanos,6154908
Megalaima virens,Psilopogon virens,6154913
Garrulax albogularis,Pterorhinus albogularis,7661904
Garrulax berthemyi,Pterorhinus berthemyi,
Garrulax chinensis,Pterorhinus chinensis,7661905
Garrulax davidi,Pterorhinus davidi,7661906
Babax lanceolatus,Pterorhinus lanceolatus,7661908
Garrulax mitratus,Pterorhinus mitratus,
Garrulax pectoralis,Pterorhinus pectoralis,7661909
Garrulax perspicillatus,Pterorhinus perspicillatus,7661910
Garrulax poecilorhynchus,Pterorhinus poecilorhynchus,7661911
Garrulax ruficeps,Pterorhinus ruficeps,
Garrulax sannio,Pterorhinus sannio,7661912
Garrulax vassali,Pterorhinus vassali,7661913
Ramphastos swainsonii,Ramphastos ambiguus,967515
Ramphocelus icteronotus,Ramphocelus flammigerus,916570
Ramphocelus costaricensis,Ramphocelus passerinii,681190
Phrygilus alaudinus,Rhopospina alaudina,
Aceros cassidix,Rhyticeros cassidix,6150877
Saltator atricollis,Saltatricula atricollis,7662396
Eurylaimus steerii,Sarcophanops steerii,7068359
Amazilia beryllina,Saucerottia beryllina,7658869
Amazilia tobaci,Saucerottia tobaci,7658876
Dolospingus fringilloides,Sporophila fringilloides,6154261
Oryzoborus funereus,Sporophila funerea,6154262
Stachyris capitalis,Sterrhoptilus capitalis,7068664
Stachyris dennistouni,Sterrhoptilus dennistouni,7068665
Sturnus albofrontatus,Sturnornis albofrontatus,3598595
Monarcha rubiensis,Symposiachrus rubiensis,5861452
Caprimulgus longirostris,Systellura longirostris,7068108
Tephrodornis gularis,Tephrodornis virgatus,692865
Tetrao parvirostris,Tetrao urogalloides,5925680
Thalassarche steadi,Thalassarche cauta,320278
