TAXON_ORDER	CATEGORY	SPECIES_CODE	PRIMARY_COM_NAME	SCI_NAME	ORDER1	FAMILY	SPECIES_GROUP	REPORT_AS	ottid	parent_ottid	name	rank	source	uniqname	flags	match_type
1	species	ostric2	Common Ostrich	Struthio camelus	Struthioniformes	Struthionidae (Ostriches)	Ostriches		647692	292466	Struthio camelus	species	ncbi:8801,gbif:2495150,irmng:10199490			canonical_match
6	species	ostric3	Somali Ostrich	Struthio molybdophanes	Struthioniformes	Struthionidae (Ostriches)			3600823	292466	Struthio molybdophanes	species	gbif:2495149			canonical_match
7	slash	y00934	Common/Somali Ostrich	Struthio camelus/molybdophanes	Struthioniformes	Struthionidae (Ostriches)			-	-	-	-	-	-	-	unmatched
8	species	grerhe1	Greater Rhea	Rhea americana	Rheiformes	Rheidae (Rheas)	Rheas		857864	857863	Rhea americana	species	ncbi:8797,gbif:2495165,irmng:10199491,irmng:10538314			canonical_match
14	species	lesrhe2	Lesser Rhea	Rhea pennata	Rheiformes	Rheidae (Rheas)			857860	745450	Pterocnemia pennata	species	ncbi:8795,gbif:2495160,irmng:10217785,irmng:10199492			synonym_match
15	issf	lesrhe4	Lesser Rhea (Puna)	Rhea pennata tarapacensis/garleppi	Rheiformes	Rheidae (Rheas)		lesrhe2	-	-	-	-	-	-	-	unmatched
18	issf	lesrhe3	Lesser Rhea (Darwin's)	Rhea pennata pennata	Rheiformes	Rheidae (Rheas)		lesrhe2	-	-	-	-	-	-	-	unmatched
19	species	tabtin1	Tawny-breasted Tinamou	Nothocercus julius	Tinamiformes	Tinamidae (Tinamous)	Tinamous		3600814	3600812	Nothocercus julius	species	gbif:2477472,irmng:10218702			canonical_match
20	species	higtin1	Highland Tinamou	Nothocercus bonapartei	Tinamiformes	Tinamidae (Tinamous)			3600815	3600812	Nothocercus bonapartei	species	gbif:2477473,irmng:10594160			canonical_match
21	issf	higtin2	Highland Tinamou (South American)	Nothocercus bonapartei [bonapartei Group]	Tinamiformes	Tinamidae (Tinamous)		higtin1	-	-	-	-	-	-	-	unmatched
26	issf	higtin3	Highland Tinamou (Costa Rican)	Nothocercus bonapartei frantzii	Tinamiformes	Tinamidae (Tinamous)		higtin1	-	-	-	-	-	-	-	unmatched
27	species	hootin1	Hooded Tinamou	Nothocercus nigrocapillus	Tinamiformes	Tinamidae (Tinamous)			3600813	3600812	Nothocercus nigrocapillus	species	ncbi:1977171,gbif:2477469,irmng:11109001			canonical_match
30	species	grytin1	Gray Tinamou	Tinamus tao	Tinamiformes	Tinamidae (Tinamous)			466704	402450	Tinamus tao	species	ncbi:69492,gbif:2477622,irmng:11161128			canonical_match
35	species	soltin1	Solitary Tinamou	Tinamus solitarius	Tinamiformes	Tinamidae (Tinamous)			3600785	402450	Tinamus solitarius	species	ncbi:2496573,gbif:2477627,irmng:10587785			canonical_match
36	species	blatin1	Black Tinamou	Tinamus osgoodi	Tinamiformes	Tinamidae (Tinamous)			3600786	402450	Tinamus osgoodi	species	gbif:2477618,irmng:10190394			canonical_match
39	species	gretin1	Great Tinamou	Tinamus major	Tinamiformes	Tinamidae (Tinamous)			402466	402450	Tinamus major	species	ncbi:30468,gbif:2477630,irmng:11131605			canonical_match
52	species	whttin1	White-throated Tinamou	Tinamus guttatus	Tinamiformes	Tinamidae (Tinamous)			306216	402450	Tinamus guttatus	species	ncbi:94827,gbif:2477621,irmng:10895804			canonical_match
53	spuh	tinamu1	Tinamus sp.	Tinamus sp.	Tinamiformes	Tinamidae (Tinamous)			-	-	-	-	-	-	-	unmatched
54	species	cintin1	Cinereous Tinamou	Crypturellus cinereus	Tinamiformes	Tinamidae (Tinamous)			647586	870604	Crypturellus cinereus	species	ncbi:1118537,gbif:2477533,irmng:10190417			canonical_match
55	species	bertin1	Berlepsch's Tinamou	Crypturellus berlepschi	Tinamiformes	Tinamidae (Tinamous)			3600796	870604	Crypturellus berlepschi	species	gbif:2477528,irmng:10218703			canonical_match
56	species	littin1	Little Tinamou	Crypturellus soui	Tinamiformes	Tinamidae (Tinamous)			960236	870604	Crypturellus soui	species	ncbi:458187,gbif:2477507,irmng:10200033			canonical_match
71	species	teptin1	Tepui Tinamou	Crypturellus ptaritepui	Tinamiformes	Tinamidae (Tinamous)			3600793	870604	Crypturellus ptaritepui	species	gbif:2477506,irmng:10199755			canonical_match
72	species	brotin1	Brown Tinamou	Crypturellus obsoletus	Tinamiformes	Tinamidae (Tinamous)			983480	870604	Crypturellus obsoletus	species	ncbi:858303,gbif:2477535,irmng:10190420			canonical_match
73	issf	brntin1	Brown Tinamou (castaneus)	Crypturellus obsoletus castaneus	Tinamiformes	Tinamidae (Tinamous)		brotin1	-	-	-	-	-	-	-	unmatched
74	issf	brntin2	Brown Tinamou (Brown)	Crypturellus obsoletus [obsoletus Group]	Tinamiformes	Tinamidae (Tinamous)		brotin1	-	-	-	-	-	-	-	unmatched
83	species	undtin1	Undulated Tinamou	Crypturellus undulatus	Tinamiformes	Tinamidae (Tinamous)			870607	870604	Crypturellus undulatus	species	ncbi:48396,gbif:2477560,irmng:11434238			canonical_match
90	species	pabtin1	Pale-browed Tinamou	Crypturellus transfasciatus	Tinamiformes	Tinamidae (Tinamous)			3600794	870604	Crypturellus transfasciatus	species	gbif:2477545,irmng:10975537			canonical_match
91	species	bratin1	Brazilian Tinamou	Crypturellus strigulosus	Tinamiformes	Tinamidae (Tinamous)			167137	870604	Crypturellus strigulosus	species	ncbi:135192,gbif:2477559,irmng:10199773			canonical_match
92	species	gyltin1	Gray-legged Tinamou	Crypturellus duidae	Tinamiformes	Tinamidae (Tinamous)			3600790	870604	Crypturellus duidae	species	gbif:2477534,irmng:10190418			canonical_match
93	species	reltin1	Red-legged Tinamou	Crypturellus erythropus	Tinamiformes	Tinamidae (Tinamous)			589927	870604	Crypturellus erythropus	species	ncbi:1118538,gbif:2477546,irmng:11437948			canonical_match
101	species	yeltin1	Yellow-legged Tinamou	Crypturellus noctivagus	Tinamiformes	Tinamidae (Tinamous)			3600789	870604	Crypturellus noctivagus	species	gbif:2477503,irmng:10190419			canonical_match
102	issf	yeltin2	Yellow-legged Tinamou (zabele)	Crypturellus noctivagus zabele	Tinamiformes	Tinamidae (Tinamous)		yeltin1	-	-	-	-	-	-	-	unmatched
103	issf	yeltin3	Yellow-legged Tinamou (noctivagus)	Crypturellus noctivagus noctivagus	Tinamiformes	Tinamidae (Tinamous)		yeltin1	-	-	-	-	-	-	-	unmatched
104	species	blctin1	Black-capped Tinamou	Crypturellus atrocapillus	Tinamiformes	Tinamidae (Tinamous)			3600795	870604	Crypturellus atrocapillus	species	gbif:2477529,irmng:10765556			canonical_match
107	species	slbtin1	Slaty-breasted Tinamou	Crypturellus boucardi	Tinamiformes	Tinamidae (Tinamous)			3600799	870604	Crypturellus boucardi	species	gbif:2477567,irmng:10456566			canonical_match
110	species	chotin1	Choco Tinamou	Crypturellus kerriae	Tinamiformes	Tinamidae (Tinamous)			3600797	870604	Crypturellus kerriae	species	gbif:2477557,irmng:11212346			canonical_match
111	species	vartin1	Variegated Tinamou	Crypturellus variegatus	Tinamiformes	Tinamidae (Tinamous)			983483	870604	Crypturellus variegatus	species	ncbi:858304,gbif:2477527,irmng:10199774			canonical_match
112	species	thitin1	Thicket Tinamou	Crypturellus cinnamomeus	Tinamiformes	Tinamidae (Tinamous)			3600791	870604	Crypturellus cinnamomeus	species	ncbi:889801,gbif:2477493,irmng:10855354			canonical_match
113	issf	thitin2	Thicket Tinamou (occidentalis)	Crypturellus cinnamomeus occidentalis	Tinamiformes	Tinamidae (Tinamous)		thitin1	-	-	-	-	-	-	-	unmatched
114	issf	thitin3	Thicket Tinamou (cinnamomeus Group)	Crypturellus cinnamomeus [cinnamomeus Group]	Tinamiformes	Tinamidae (Tinamous)		thitin1	-	-	-	-	-	-	-	unmatched
123	species	rustin1	Rusty Tinamou	Crypturellus brevirostris	Tinamiformes	Tinamidae (Tinamous)			647584	870604	Crypturellus brevirostris	species	ncbi:1118536,gbif:2477532,irmng:11234105			canonical_match
124	species	bartin2	Bartlett's Tinamou	Crypturellus bartletti	Tinamiformes	Tinamidae (Tinamous)			3600798	870604	Crypturellus bartletti	species	gbif:2477556,irmng:11280190			canonical_match
125	species	smbtin1	Small-billed Tinamou	Crypturellus parvirostris	Tinamiformes	Tinamidae (Tinamous)			379420	870604	Crypturellus parvirostris	species	ncbi:198471,gbif:2477558,irmng:11295728			canonical_match
126	species	bartin1	Barred Tinamou	Crypturellus casiquiare	Tinamiformes	Tinamidae (Tinamous)			3600788	870604	Crypturellus casiquiare	species	gbif:2477570,irmng:11037730			canonical_match
127	species	tattin1	Tataupa Tinamou	Crypturellus tataupa	Tinamiformes	Tinamidae (Tinamous)			758347	870604	Crypturellus tataupa	species	ncbi:57238,gbif:2477522,irmng:10761827			canonical_match
132	spuh	cryptu1	Crypturellus sp.	Crypturellus sp.	Tinamiformes	Tinamidae (Tinamous)			-	-	-	-	-	-	-	unmatched
133	species	rewtin1	Red-winged Tinamou	Rhynchotus rufescens	Tinamiformes	Tinamidae (Tinamous)			224379	402447	Rhynchotus rufescens	species	ncbi:30466,gbif:2477464,irmng:10199775			canonical_match
137	species	huatin1	Huayco Tinamou	Rhynchotus maculicollis	Tinamiformes	Tinamidae (Tinamous)			3600787	402447	Rhynchotus maculicollis	species	gbif:2477462,irmng:10990144			canonical_match
138	species	tactin1	Taczanowski's Tinamou	Nothoprocta taczanowskii	Tinamiformes	Tinamidae (Tinamous)			3600803	292463	Nothoprocta taczanowskii	species	gbif:2477596,irmng:10218990			canonical_match
139	species	orntin1	Ornate Tinamou	Nothoprocta ornata	Tinamiformes	Tinamidae (Tinamous)			332613	292463	Nothoprocta ornata	species	ncbi:83376,gbif:2477575,irmng:11309803			canonical_match
143	species	chitin1	Chilean Tinamou	Nothoprocta perdicaria	Tinamiformes	Tinamidae (Tinamous)			402446	292463	Nothoprocta perdicaria	species	ncbi:30464,gbif:2477581,irmng:10764045			canonical_match
146	species	brutin1	Brushland Tinamou	Nothoprocta cinerascens	Tinamiformes	Tinamidae (Tinamous)			292464	292463	Nothoprocta cinerascens	species	ncbi:8807,gbif:2477593,irmng:10218991			canonical_match
149	species	andtin1	Andean Tinamou	Nothoprocta pentlandii	Tinamiformes	Tinamidae (Tinamous)			3600805	292463	Nothoprocta pentlandii	species	gbif:2477584,irmng:10899285			canonical_match
157	species	cubtin1	Curve-billed Tinamou	Nothoprocta curvirostris	Tinamiformes	Tinamidae (Tinamous)			3600806	292463	Nothoprocta curvirostris	species	gbif:2477572,irmng:10855286			canonical_match
160	spuh	nothop1	Nothoprocta sp.	Nothoprocta sp.	Tinamiformes	Tinamidae (Tinamous)			-	-	-	-	-	-	-	unmatched
161	species	whbnot1	White-bellied Nothura	Nothura boraquira	Tinamiformes	Tinamidae (Tinamous)			3600801	892283	Nothura boraquira	species	gbif:2477599,irmng:10940145			canonical_match
162	species	lesnot1	Lesser Nothura	Nothura minor	Tinamiformes	Tinamidae (Tinamous)			3600800	892283	Nothura minor	species	gbif:2477598,irmng:11303108			canonical_match
163	species	darnot1	Darwin's Nothura	Nothura darwinii	Tinamiformes	Tinamidae (Tinamous)			892275	892283	Nothura darwinii	species	ncbi:555278,gbif:2477610,irmng:10218992			canonical_match
169	species	sponot1	Spotted Nothura	Nothura maculosa	Tinamiformes	Tinamidae (Tinamous)			892276	892283	Nothura maculosa	species	ncbi:555279,gbif:2477600,irmng:11110312			canonical_match
179	species	dwatin1	Dwarf Tinamou	Taoniscus nanus	Tinamiformes	Tinamidae (Tinamous)			3600811	3600808	Taoniscus nanus	species	gbif:2477457,irmng:10218993			canonical_match
180	species	elctin1	Elegant Crested-Tinamou	Eudromia elegans	Tinamiformes	Tinamidae (Tinamous)			292461	292460	Eudromia elegans	species	ncbi:8805,gbif:5228704,irmng:10761828			canonical_match
191	species	quctin1	Quebracho Crested-Tinamou	Eudromia formosa	Tinamiformes	Tinamidae (Tinamous)			784522	292460	Eudromia formosa	species	ncbi:1109040,gbif:5228703,irmng:11097438			canonical_match
194	species	puntin1	Puna Tinamou	Tinamotis pentlandii	Tinamiformes	Tinamidae (Tinamous)			599078	1073494	Tinamotis pentlandii	species	ncbi:555361,gbif:2477459,irmng:11008958			canonical_match
195	species	pattin1	Patagonian Tinamou	Tinamotis ingoufi	Tinamiformes	Tinamidae (Tinamous)			599077	1073494	Tinamotis ingoufi	species	ncbi:555360,gbif:2477460,irmng:10199778			canonical_match
196	spuh	tinamo1	tinamou sp.	Tinamidae sp.	Tinamiformes	Tinamidae (Tinamous)			5557490	292467	Tinamidae sp.	species	ncbi:1503223		incertae_sedis,not_otu	canonical_match
197	species	soucas1	Southern Cassowary	Casuarius casuarius	Casuariiformes	Casuariidae (Cassowaries and Emu)	Cassowaries and Emu		589152	589156	Casuarius casuarius	species	ncbi:8787,gbif:5231783,irmng:10594159			canonical_match
198	species	dwacas1	Dwarf Cassowary	Casuarius bennetti	Casuariiformes	Casuariidae (Cassowaries and Emu)			402459	589156	Casuarius bennetti	species	ncbi:30463,gbif:5231784,irmng:10453655			canonical_match
199	species	norcas1	Northern Cassowary	Casuarius unappendiculatus	Casuariiformes	Casuariidae (Cassowaries and Emu)			3600826	589156	Casuarius unappendiculatus	species	ncbi:1740858,gbif:5231785,irmng:11188162			canonical_match
200	species	emu1	Emu	Dromaius novaehollandiae	Casuariiformes	Casuariidae (Cassowaries and Emu)			829513	283193	Dromaius novaehollandiae	species	ncbi:8790,gbif:2495134,irmng:11282884			canonical_match
205	species	sobkiw1	Southern Brown Kiwi	Apteryx australis	Apterygiformes	Apterygidae (Kiwis)	Kiwis		241834	241840	Apteryx australis	species	ncbi:8822,gbif:2495145,irmng:10190393			canonical_match
206	issf	sobkiw2	Southern Brown Kiwi (South I.)	Apteryx australis australis	Apterygiformes	Apterygidae (Kiwis)		sobkiw1	412972	241834	Apteryx australis australis	subspecies	ncbi:61298		infraspecific	canonical_match
207	issf	sobkiw3	Southern Brown Kiwi (Stewart I.)	Apteryx australis lawryi	Apterygiformes	Apterygidae (Kiwis)		sobkiw1	-	-	-	-	-	-	-	unmatched
208	species	okbkiw1	Okarito Brown Kiwi	Apteryx rowi	Apterygiformes	Apterygidae (Kiwis)			165688	241840	Apteryx rowi	species	ncbi:308060,gbif:2495141,irmng:10535241			canonical_match
209	species	nibkiw1	North Island Brown Kiwi	Apteryx mantelli	Apterygiformes	Apterygidae (Kiwis)			748998	241834	Apteryx australis mantelli	subspecies	ncbi:202946,gbif:2495144,irmng:10989871		infraspecific	synonym_match
210	species	liskiw1	Little Spotted Kiwi	Apteryx owenii	Apterygiformes	Apterygidae (Kiwis)			241844	241840	Apteryx owenii	species	ncbi:8824,gbif:2495142,irmng:10862264			canonical_match
211	species	grskiw1	Great Spotted Kiwi	Apteryx haastii	Apterygiformes	Apterygidae (Kiwis)			241836	241840	Apteryx haastii	species	ncbi:8823,gbif:2495139,irmng:10218701			canonical_match
212	species	horscr1	Horned Screamer	Anhima cornuta	Anseriformes	Anhimidae (Screamers)	Screamers		767829	1086565	Anhima cornuta	species	ncbi:56280,gbif:2497983,irmng:10593076			canonical_match
213	species	souscr1	Southern Screamer	Chauna torquata	Anseriformes	Anhimidae (Screamers)			860132	241847	Chauna torquata	species	ncbi:30388,gbif:5959222,irmng:10214742			canonical_match
214	species	norscr1	Northern Screamer	Chauna chavaria	Anseriformes	Anhimidae (Screamers)			241848	241847	Chauna chavaria	species	ncbi:8829,gbif:5959223,irmng:11192735			canonical_match
215	species	maggoo1	Magpie Goose	Anseranas semipalmata	Anseriformes	Anseranatidae (Magpie Goose)	Waterfowl		714464	714466	Anseranas semipalmata	species	ncbi:8851,gbif:2497981,irmng:10718729			canonical_match
216	species	spwduc1	Spotted Whistling-Duck	Dendrocygna guttata	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	737607	662607	Dendrocygna guttata	species	ncbi:60181,gbif:2498397,irmng:10457555			canonical_match
217	species	plwduc1	Plumed Whistling-Duck	Dendrocygna eytoni	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	662615	662607	Dendrocygna eytoni	species	ncbi:8875,gbif:2498405,irmng:10586115			canonical_match
218	species	wfwduc1	White-faced Whistling-Duck	Dendrocygna viduata	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	662622	662607	Dendrocygna viduata	species	ncbi:8876,gbif:2498396,irmng:11254854			canonical_match
219	hybrid	x00721	Spotted x White-faced Whistling-Duck (hybrid)	Dendrocygna guttata x viduata	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
220	species	bbwduc	Black-bellied Whistling-Duck	Dendrocygna autumnalis	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	662608	662607	Dendrocygna autumnalis	species	ncbi:8873,worms:422567,gbif:2498393,irmng:10189259			canonical_match
221	issf	bkbwhd1	Black-bellied Whistling-Duck (fulgens)	Dendrocygna autumnalis fulgens	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
222	issf	bkbwhd2	Black-bellied Whistling-Duck (autumnalis)	Dendrocygna autumnalis autumnalis	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
223	species	wiwduc1	West Indian Whistling-Duck	Dendrocygna arborea	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	662604	662607	Dendrocygna arborea	species	ncbi:8871,worms:422568,gbif:2498406,irmng:11232988			canonical_match
224	hybrid	x00775	Black-bellied x West Indian Whistling-Duck (hybrid)	Dendrocygna autumnalis x arborea	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
225	species	fuwduc	Fulvous Whistling-Duck	Dendrocygna bicolor	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	662618	662607	Dendrocygna bicolor	species	ncbi:8874,worms:212674,gbif:2498402,irmng:10189260			canonical_match
226	hybrid	x00938	White-faced x Fulvous Whistling-Duck (hybrid)	Dendrocygna viduata x bicolor	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
227	hybrid	x00875	Black-bellied x Fulvous Whistling-Duck (hybrid)	Dendrocygna autumnalis x bicolor	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
228	species	wawduc1	Wandering Whistling-Duck	Dendrocygna arcuata	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	662612	662607	Dendrocygna arcuata	species	ncbi:8872,gbif:2498398,irmng:11254501			canonical_match
232	species	lewduc1	Lesser Whistling-Duck	Dendrocygna javanica	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	737604	662607	Dendrocygna javanica	species	ncbi:60182,gbif:2498404,irmng:11096649			canonical_match
233	slash	y01080	Fulvous/Lesser Whistling-Duck	Dendrocygna bicolor/javanica	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
234	spuh	whistl1	whistling-duck sp.	Dendrocygna sp.	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
235	species	whbduc1	White-backed Duck	Thalassornis leuconotus	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	539138	539133	Thalassornis leuconotus	species	ncbi:56306,worms:212714,gbif:2498229,irmng:10731887			canonical_match
238	species	bahgoo	Bar-headed Goose	Anser indicus	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	190897	190884	Anser indicus	species	ncbi:8846,gbif:2498035,irmng:10189255			canonical_match
239	species	empgoo	Emperor Goose	Anser canagicus	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	166688	190884	Anser canagica	species	ncbi:107021,gbif:2498162,irmng:11035259,irmng:11057155,irmng:10722789,irmng:10525325			synonym_match
240	species	snogoo	Snow Goose	Anser caerulescens	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	190878	190884	Anser caerulescens	species	ncbi:8849,worms:159204,gbif:2498165,irmng:11167814,irmng:10195594			canonical_match
243	species	rosgoo	Ross's Goose	Anser rossii	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	767830	190884	Anser rossii	species	ncbi:56281,worms:159086,irmng:10824526,irmng:10189256,irmng:10189258			canonical_match
244	hybrid	sxrgoo1	Snow x Ross's Goose (hybrid)	Anser caerulescens x rossii	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
245	slash	y00469	Snow/Ross's Goose	Anser caerulescens/rossii	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
246	species	gragoo	Graylag Goose	Anser anser	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	190887	190884	Anser anser	species	ncbi:8843,worms:416682,gbif:2498036,irmng:10195593			canonical_match
247	issf	gragoo2	Graylag Goose (European)	Anser anser anser	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	190890	190887	Anser anser anser	subspecies	ncbi:8844		infraspecific	canonical_match
248	issf	gragoo3	Graylag Goose (Siberian)	Anser anser rubrirostris	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	444179	190887	Anser anser rubrirostris	subspecies	ncbi:132591		infraspecific	canonical_match
249	domestic	gragoo1	Graylag Goose (Domestic type)	Anser anser (Domestic type)	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
250	species	swagoo1	Swan Goose	Anser cygnoides	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	190892	190884	Anser cygnoides	species	ncbi:8845,gbif:2498034,irmng:11245391			canonical_match
251	domestic	swagoo2	Swan Goose (Domestic type)	Anser cygnoides (Domestic type)	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
252	hybrid	x00776	Graylag x Swan Goose (Domestic type) (hybrid)	Anser anser x cygnoides (Domestic type)	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
253	species	gwfgoo	Greater White-fronted Goose	Anser albifrons	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	430239	190884	Anser albifrons	species	ncbi:50365,worms:159159,gbif:2498017,irmng:10587752			canonical_match
254	issf	gwfgoo1	Greater White-fronted Goose (Greenland)	Anser albifrons flavirostris	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	444177	430239	Anser albifrons flavirostris	subspecies	ncbi:132590		infraspecific	canonical_match
255	issf	gwfgoo4	Greater White-fronted Goose (Eurasian)	Anser albifrons albifrons	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	970382	430239	Anser albifrons albifrons	subspecies	ncbi:132589		infraspecific	canonical_match
256	issf	gwfgoo2	Greater White-fronted Goose (Western)	Anser albifrons gambelli/sponsa	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
259	issf	gwfgoo3	Greater White-fronted Goose (Tule)	Anser albifrons elgasi	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
260	hybrid	x00755	Bar-headed x Greater White-fronted Goose (hybrid)	Anser indicus x albifrons	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
261	hybrid	x00627	Snow x Greater White-fronted Goose (hybrid)	Anser caerulescens x albifrons	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
262	species	lwfgoo	Lesser White-fronted Goose	Anser erythropus	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	691333	190884	Anser erythropus	species	ncbi:132586,worms:416684,gbif:2498026,irmng:10189254			canonical_match
263	slash	y00707	Greater/Lesser White-fronted Goose	Anser albifrons/erythropus	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
264	species	taibeg1	Taiga Bean-Goose	Anser fabalis	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	325140	190884	Anser fabalis	species	ncbi:132587,worms:416685,gbif:2498027,irmng:11303089			canonical_match
268	species	tunbeg1	Tundra Bean-Goose	Anser serrirostris	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	3595909	190884	Anser serrirostris	species	ncbi:2606890,gbif:9455781			canonical_match
271	slash	y00468	Taiga/Tundra Bean-Goose	Anser fabalis/serrirostris	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
272	species	pifgoo	Pink-footed Goose	Anser brachyrhynchus	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	970372	190884	Anser brachyrhynchus	species	ncbi:132585,worms:416683,gbif:2498024,irmng:10767173			canonical_match
273	domestic	domgoo1	Domestic goose sp. (Domestic type)	Anser sp. (Domestic type)	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
274	spuh	anser1	Anser sp.	Anser sp.	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	190899	190884	Anser sp.	species	ncbi:8847		incertae_sedis,not_otu	canonical_match
275	species	brant	Brant	Branta bernicla	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	135287	714463	Branta bernicla	species	ncbi:184712,worms:159175,gbif:5232446,irmng:11345921			canonical_match
276	issf	dabbra1	Brant (Dark-bellied)	Branta bernicla bernicla	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
277	issf	atlbra1	Brant (Atlantic)	Branta bernicla hrota	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	799134	135287	Branta bernicla hrota	subspecies	ncbi:184713		infraspecific	canonical_match
278	issf	blkbra1	Brant (Black)	Branta bernicla nigricans	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	799107	135287	Branta bernicla nigricans	subspecies	ncbi:184714		infraspecific	canonical_match
279	form	gybbra1	Brant (Gray-bellied)	Branta bernicla (Gray-bellied)	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
280	intergrade	brant1	Brant (Atlantic x Black)	Branta bernicla hrota x nigricans	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
281	hybrid	x00685	Snow Goose x Brant (hybrid)	Anser caerulescens x Branta bernicla	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
282	species	bargoo	Barnacle Goose	Branta leucopsis	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	799124	714463	Branta leucopsis	species	ncbi:184711,worms:159177,gbif:5232464,irmng:10195591			canonical_match
283	hybrid	x00756	Pink-footed x Barnacle Goose (hybrid)	Anser brachyrhynchus x Branta leucopsis	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
284	hybrid	x00757	Greater White-fronted x Barnacle Goose (hybrid)	Anser albifrons x Branta leucopsis	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
285	hybrid	x00649	Graylag x Barnacle Goose (hybrid)	Anser anser x Branta leucopsis	Anseriformes	"Anatidae (Ducks	Geese	and Waterfowl)"	-	-	-	-	-	-	-	unmatched
