otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
Tl3311863	Sialia sialis	easblu	Sialia_sialis	775715	Sialia sialis
Tl3311967	Sialia mexicana	wesblu	Sialia_mexicana	1044558	Sialia mexicana
Tl3312008	Psophocichla litsitsirupa	grothr1	Psophocichla_litsitsirupa	957473	Psophocichla litsitsirupa
Tl3312027	Otocichla mupinensis	chithr2	Turdus_mupinensis	754976	Turdus mupinensis
Tl3312028	Turdus viscivorus	misthr1	Turdus_viscivorus	1002259	Turdus viscivorus
Tl3311996	Turdus philomelos	sonthr1	Turdus_philomelos	1082345	Turdus philomelos
Tl3311989	Turdus rufopalliatus	rubrob	Turdus_rufopalliatus	532591	Turdus rufopalliatus
Tl3311988	Turdus rufitorques	rucrob1	Turdus_rufitorques	1050507	Turdus rufitorques
Tl3311833	Turdus migratorius	amerob	Turdus_migratorius	96291	Turdus migratorius
Tl3312012	Turdus nigrescens	soorob1	Turdus_nigrescens	906452	Turdus nigrescens
Tl3311985	Turdus infuscatus	blarob1	Turdus_infuscatus	381312	Turdus infuscatus
Tl3311968	Turdus bewsheri	comthr1	Turdus_bewsheri	54199	Turdus bewsheri
Tl3312020	Turdus libonyana	kurthr1	Turdus_libonyana	431681	Turdus libonyana
Tl3311979	Turdus lherminieri	forthr1	Cichlherminia_lherminieri	381843	Cichlherminia lherminieri
Tl3311980	Turdus leucops	paethr1	Turdus_leucops	302978	Turdus leucops
Tl3312031	Turdus swalesi	lasthr1	Turdus_swalesi	532589	Turdus swalesi
Tl3311963	Turdus jamaicensis	whethr1	Turdus_jamaicensis	1058853	Turdus jamaicensis
Tl3311984	Turdus olivaceofuscus	satthr1	Turdus_olivaceofuscus	54196	Turdus olivaceofuscus
Tl3311970	Turdus aurantius	whcthr1	Turdus_aurantius	906448	Turdus aurantius
Tl3311975	Turdus plumbeus	relthr1	Turdus_plumbeus	906941	Turdus plumbeus
Tl3311999	Turdus pelios	afrthr1	Turdus_pelios	54201	Turdus pelios
Tl3311998	Turdus niveiceps	islthr24	Turdus_niveiceps	46399	Turdus niveiceps
Tl3311982	Turdus maximus	tibbla1	Turdus_maximus	168082	Turdus maximus
