otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
Tl1613004	Pelecanus occidentalis carolinensis	brnpel2	Pelecanus_occidentalis_carolinensis	901992	Pelecanus occidentalis carolinensis
Tl1613016	Sula sula	refboo	Sula_sula	1030314	Sula sula
Tl1613037	Morus serrator	ausgan1	Morus_serrator	403772	Morus serrator
Tl1613006	no_match	no_match	Microcarbo_pygmaeus	1080666	Microcarbo pygmeus
Tl1613005	Microcarbo melanoleucos	lipcor1	Microcarbo_melanoleucos	9838	Microcarbo melanoleucos
Tl1613009	Phalacrocorax gaimardi	relcor1	Poikilocarbo_gaimardi	480885	Poikilocarbo gaimardi
Tl1613018	Phalacrocorax brasilianus	neocor	Nannopterum_brasilianus	109023	Nannopterum brasilianus
Tl1613022	Phalacrocorax auritus	doccor	Nannopterum_auritus	170200	Nannopterum auritus
Tl1613034	Phalacrocorax harrisi	flicor1	Nannopterum_harrisi	409434	Nannopterum harrisi
Tl1613032	Phalacrocorax bougainvillii	guacor1	Leucocarbo_bougainvillii	9834	Leucocarbo bougainvillii
Tl1612999	no_match	no_match	Leucocarbo_albiventer_a	969843	Leucocarbo albiventer
Tl1613036	Phalacrocorax atriceps	impcor1	Leucocarbo_atriceps_b	446659	Leucocarbo atriceps
Tl1613011	Phalacrocorax georgianus	sogsha1	Leucocarbo_georgianus	221814	Leucocarbo georgianus
Tl1613026	Phalacrocorax melanogenis	crosha1	Leucocarbo_melanogenis	3600651	Leucocarbo melanogenis
Tl1612998	Phalacrocorax bransfieldensis	antsha1	Leucocarbo_bransfieldensis	401967	Leucocarbo bransfieldensis
Tl1613028	Phalacrocorax bransfieldensis	antsha1	Leucocarbo_bransfieldensis_c	401967	Leucocarbo bransfieldensis
Tl1613017	Phalacrocorax nivalis	heisha1	Leucocarbo_nivalis	3600650	Leucocarbo nivalis
Tl1613002	Phalacrocorax purpurascens	macsha1	Leucocarbo_purpurascens	9839	Leucocarbo purpurascens
Tl1613008	Phalacrocorax verrucosus	kersha1	Leucocarbo_verrucosus	3600687	Leucocarbo verrucosus
Tl1613007	Phalacrocorax chalconotus	brosha1	Leucocarbo_chalconotus	480890	Leucocarbo chalconotus
Tl1613001	Phalacrocorax onslowi	chisha1	Leucocarbo_onslowi	9837	Leucocarbo onslowi
Tl1613038	Phalacrocorax colensoi	auisha1	Leucocarbo_colensoi	31563	Leucocarbo colensoi
Tl1613031	Phalacrocorax campbelli	caisha2	Leucocarbo_campbelli	9831	Leucocarbo campbelli
Tl1613014	Phalacrocorax carunculatus	rofsha1	Leucocarbo_carunculatus	3600684	Leucocarbo carunculatus
Tl1613029	Phalacrocorax ranfurlyi	boisha1	Leucocarbo_ranfurlyi	31566	Leucocarbo ranfurlyi
Tl1613025	Phalacrocorax magellanicus	magcor1	Leucocarbo_magellanicus	323108	Leucocarbo magellanicus
Tl1613000	Phalacrocorax aristotelis	eursha1	Gulosus_aristotelis	1021952	Gulosus aristotelis
Tl1613035	Phalacrocorax neglectus	bancor1	Phalacrocorax_neglectus	31575	Phalacrocorax neglectus
Tl1613027	Phalacrocorax carbo novaehollandiae	grecor2	Phalacrocorax_carbo_novaehollandiae	5859706	Phalacrocorax carbo novaehollandiae
Tl1612997	Phalacrocorax carbo carbo	grecor1	Phalacrocorax_carbo_carbo	5859704	Phalacrocorax carbo carbo
Tl1613013	Phalacrocorax capillatus	japcor1	Phalacrocorax_capillatus	9835	Phalacrocorax capillatus
Tl1613012	Phalacrocorax carbo lucidus	grecor4	Phalacrocorax_carbo_lucidus	3600657	Phalacrocorax lucidus
Tl1613021	no_match	no_match	Phalacrocorax_carbo_sinensis	5859705	Phalacrocorax carbo sinensis
Tl1613024	Phalacrocorax capensis	capcor1	Phalacrocorax_capensis	9836	Phalacrocorax capensis
Tl1613015	Phalacrocorax nigrogularis	soccor1	Phalacrocorax_nigrogularis	780772	Phalacrocorax nigrogularis
Tl1613033	Phalacrocorax featherstoni	piisha1	Phalacrocorax_featherstoni	480886	Phalacrocorax featherstoni
Tl1613039	Phalacrocorax punctatus	sposha1	Phalacrocorax_punctatus	480891	Phalacrocorax punctatus
Tl1613010	Phalacrocorax fuscescens	blfcor1	Phalacrocorax_fuscescens	939761	Phalacrocorax fuscescens
Tl1613003	Phalacrocorax varius	piecor1	Phalacrocorax_varius	701202	Phalacrocorax varius
Tl1613023	Phalacrocorax sulcirostris	libcor1	Phalacrocorax_sulcirostris	443642	Phalacrocorax sulcirostris
Tl1613020	Phalacrocorax pelagicus	pelcor	Urile_pelagicus	744568	Urile pelagicus
Tl1613030	Phalacrocorax urile	refcor	Urile_urile	744567	Urile urile
Tl1613019	Phalacrocorax penicillatus	bracor	Urile_penicillatus	9830	Urile penicillatus
Tl1612996	no_match	no_match	Anhinga_anhinga_leucogaster	5859717	Anhinga anhinga leucogaster
