otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu82	Malurus amabilis	lovfai1	Malurus_amabilis	325204	Malurus amabilis
otu81	Ptiloprora plumbea	leahon1	Ptiloprora_plumbea	1058842	Ptiloprora plumbea
otu73	no_match	no_match	Saltator_atricollis	885165	Saltator atricollis
otu74	Prunella modularis	dunnoc1	Prunella_modularis	875990	Prunella modularis
otu72	Sturnus vulgaris	eursta	Sturnus_vulgaris	565813	Sturnus vulgaris
otu70	Hirundo rustica	barswa	Hirundo_rustica	1040135	Hirundo rustica
otu71	Sylvia atricapilla	blackc1	Sylvia_atricapilla	726312	Sylvia atricapilla
otu69	Hylocitrea bonensis	olfwhi1	Hylocitrea_bonensis	352344	Hylocitrea bonensis
otu78	Chaetops frenatus	rufroc1	Chaetops_frenatus	360543	Chaetops frenatus
otu77	Picathartes gymnocephalus	whnroc1	Picathartes_gymnocephalus	699623	Picathartes gymnocephalus
otu76	Pachycephalopsis hattamensis	grbrob1	Pachycephalopsis_hattamensis	55848	Pachycephalopsis hattamensis
otu75	Eopsaltria australis	yelrob1	Eopsaltria_australis	465916	Eopsaltria australis
otu35	Telophorus sulfureopectus	subbus1	Telophorus_sulfureopectus	419137	Telophorus sulfureopectus
otu36	Batis poensis	fepbat1	Batis_poensis	826467	Batis poensis
otu37	Prionops retzii	rethel1	Prionops_retzii	724315	Prionops retzii
otu38	Gymnorhina tibicen	ausmag2	Gymnorhina_tibicen	464854	Gymnorhina tibicen
otu33	Pericrocotus cinnamomeus	smamin1	Pericrocotus_cinnamomeus	207807	Pericrocotus cinnamomeus
otu32	Pericrocotus igneus	fiemin1	Pericrocotus_igneus	139920	Pericrocotus igneus
otu31	Pericrocotus solaris	gycmin1	Pericrocotus_solaris	207811	Pericrocotus solaris
otu30	Pericrocotus ethologus	lotmin1	Pericrocotus_ethologus	269014	Pericrocotus ethologus
otu29	Pericrocotus flammeus	scamin3	Pericrocotus_flammeus	139916	Pericrocotus flammeus
otu28	Pericrocotus divaricatus	ashmin1	Pericrocotus_divaricatus	207806	Pericrocotus divaricatus
otu34	Pericrocotus erythropygius	whbmin3	Pericrocotus_erythropygius	207808	Pericrocotus erythropygius
otu3	Lalage leucomela	vartri1	Lalage_leucomela	754854	Lalage leucomela
otu2	Lalage nigra	pietri1	Lalage_nigra	961543	Lalage nigra
otu1	Lalage leucopygialis	whrtri1	Lalage_leucopygialis	352336	Lalage leucopygialis
otu4	Lalage melanoleuca	bawtri1	Lalage_melanoleuca	1030770	Lalage melanoleuca
otu5	no_match	no_match	Coracina_melaschistos	174107	Coracina melaschistos
otu6	Lalage tricolor	whwtri1	Lalage_tricolor	408047	Lalage tricolor
otu12	Malindangia mcgregori	mcgcus1	Coracina_mcgregori	309058	Coracina mcgregori
otu7	Edolisoma mindanense	bkbcus1	Coracina_mindanensis	309061	Coracina mindanensis
otu8	Edolisoma tenuirostre	cicada1	Coracina_tenuirostris	921351	Coracina tenuirostris
otu9	Analisoma coerulescens	blacus1	Coracina_coerulescens	883543	Coracina coerulescens
otu11	Celebesia abbotti	pygcus1	Coracina_abbotti	258830	Coracina abbotti
otu10	Cyanograucalus azureus	blucus1	Coracina_azurea	883552	Cyanograucalus azureus
otu15	Campochaera sloetii	golcus1	Campochaera_sloetii	877146	Campochaera sloetii
otu13	Campephaga petiti	petcus1	Campephaga_petiti	877141	Campephaga petiti
otu14	Campephaga flava	blkcus1	Campephaga_flava	80432	Campephaga flava
otu21	Coracina novaehollandiae	bkfcus1	Coracina_novaehollandiae	884904	Coracina novaehollandiae
otu19	Coracina atriceps	molcus1	Coracina_atriceps	833377	Coracina atriceps
otu20	Coracina papuensis	whbcus1	Coracina_papuensis	921348	Coracina papuensis
otu16	Coracina striata	babcus1	Coracina_striata	442047	Coracina striata
otu18	Coracina macei	larcus1	Coracina_macei	833375	Coracina macei
otu17	Coracina larvata	suncus1	Coracina_larvata	833374	Coracina larvata
otu22	Coracina caledonica	melcus1	Coracina_caledonica	833378	Coracina caledonica
otu23	Coracina lineata	yeecus1	Coracina_lineata	308773	Coracina lineata
otu25	Coracina cinerea	ashcus2	Coracina_cinerea	883548	Coracina cinerea
otu24	Coracina temminckii	cercus1	Coracina_temminckii	258837	Coracina temminckii
otu26	Coracina caesia	grycus1	Coracina_caesia	883549	Coracina caesia
otu27	Coracina pectoralis	whbcus2	Coracina_pectoralis	258828	Coracina pectoralis
otu63	Rhipidura rufifrons	ruffan1	Rhipidura_rufifrons	26185	Rhipidura rufifrons
otu62	Dicrurus bracteatus	spadro1	Dicrurus_bracteatus	524120	Dicrurus bracteatus
otu59	Terpsiphone viridis	afpfly1	Terpsiphone_viridis	767075	Terpsiphone viridis
otu60	Monarcha melanopsis	blfmon1	Monarcha_melanopsis	5560456	Monarcha melanopsis
otu61	Corvus corone	carcro1	Corvus_corone	711844	Corvus corone
otu58	Corcorax melanorhamphos	whwcho1	Corcorax_melanorhamphos	1058864	Corcorax melanorhamphos
otu57	Drepanornis albertisi	blbsic1	Epimachus_albertisi	515147	Epimachus albertisi
otu56	Platylophus galericulatus	crejay1	Platylophus_galericulatus	106246	Platylophus galericulatus
otu55	Lanius collaris	soufis1	Lanius_collaris	869006	Lanius collaris
otu64	Vireo flavoviridis	yegvir	Vireo_flavoviridis	293381	Vireo flavoviridis
otu65	Vireo olivaceus	reevir1	Vireo_olivaceus	604019	Vireo olivaceus
otu66	Tunchiornis ochraceiceps luteifrons	tacgre5	Hylophilus_ochraceiceps	669572	Hylophilus ochraceiceps
otu67	Cyclarhis gujanensis	rubpep1	Cyclarhis_gujanensis	621721	Cyclarhis gujanensis
otu68	Daphoenositta chrysoptera	varsit8	Daphoenositta_chrysoptera	439404	Daphoenositta chrysoptera
otu48	Colluricincla megarhyncha	rufsht1	Colluricincla_megarhyncha	749724	Colluricincla megarhyncha
otu49	Coracornis raveni	mabwhi1	Coracornis_raveni	352341	Coracornis raveni
otu46	Pachycephala rufiventris	rufwhi1	Pachycephala_rufiventris	346147	Pachycephala rufiventris
otu39	Pachycephala albiventris	grbwhi1	Pachycephala_albiventris	717315	Pachycephala albiventris
otu41	Pachycephala philippinensis	yebwhi1	Pachycephala_philippinensis	1001535	Pachycephala philippinensis
otu40	Pachycephala schlegelii	regwhi1	Pachycephala_schlegelii	95994	Pachycephala schlegelii
otu43	Colluricincla tenebrosa	soosht1	Colluricincla_tenebrosa	663342	Pitohui tenebrosus
