otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu41	Anhinga anhinga	anhing	Anhinga_anhinga_leucogaster	170196	Anhinga anhinga
otu40	Microcarbo pygmaeus	pygcor2	Microcarbo_pygmaeus	3600659	Phalacrocorax pygmaeus
otu39	Microcarbo melanoleucos	lipcor1	Microcarbo_melanoleucos	9838	Phalacrocorax melanoleucos
otu38	Phalacrocorax gaimardi	relcor1	Poikilocarbo_gaimardi	480885	Phalacrocorax gaimardi
otu23	Phalacrocorax nivalis	heisha1	Leucocarbo_nivalis	3600650	Phalacrocorax nivalis
otu24	Phalacrocorax purpurascens	macsha1	Leucocarbo_purpurascens	9839	Phalacrocorax purpurascens
otu25	Phalacrocorax verrucosus	kersha1	Leucocarbo_verrucosus	3600687	Leucocarbo verrucosus
otu22	Phalacrocorax melanogenis	crosha1	Leucocarbo_melanogenis	3600651	Phalacrocorax melanogenis
otu21	Phalacrocorax bransfieldensis	antsha1	Leucocarbo_bransfieldensis_2	401967	Phalacrocorax bransfieldensis
otu20	Phalacrocorax bransfieldensis	antsha1	Leucocarbo_bransfieldensis_1	401967	Phalacrocorax bransfieldensis
otu28	no_match	no_match	Leucocarbo_albiventer	969843	Phalacrocorax albiventer
otu27	Phalacrocorax atriceps	impcor1	Leucocarbo_atriceps	446659	Phalacrocorax atriceps
otu26	Phalacrocorax georgianus	sogsha1	Leucocarbo_georgianus	221814	Phalacrocorax georgianus
otu30	Phalacrocorax campbelli	caisha2	Leucocarbo_campbelli	9831	Phalacrocorax campbelli
otu29	Phalacrocorax colensoi	auisha1	Leucocarbo_colensoi	31563	Phalacrocorax colensoi
otu31	Phalacrocorax onslowi	chisha1	Leucocarbo_onslowi	9837	Phalacrocorax onslowi
otu32	Phalacrocorax chalconotus	brosha1	Leucocarbo_chalconotus	480890	Phalacrocorax chalconotus
otu33	Phalacrocorax carunculatus	rofsha1	Leucocarbo_carunculatus	3600684	Leucocarbo carunculatus
otu34	Phalacrocorax ranfurlyi	boisha1	Leucocarbo_ranfurlyi	31566	Phalacrocorax ranfurlyi
otu35	Phalacrocorax bougainvillii	guacor1	Leucocarbo_bougainvillii	9834	Phalacrocorax bougainvillii
otu36	Phalacrocorax magellanicus	magcor1	Leucocarbo_magellanicus	323108	Phalacrocorax magellanicus
otu17	Phalacrocorax auritus	doccor	Nannopterum_auritus	170200	Phalacrocorax auritus
otu18	Phalacrocorax brasilianus	neocor	Nannopterum_brasilianus	109023	Phalacrocorax brasilianus
otu19	Phalacrocorax harrisi	flicor1	Nannopterum_harrisi	409434	Phalacrocorax harrisi
otu37	Phalacrocorax aristotelis	eursha1	Gulosus_aristotelis	1021952	Phalacrocorax aristotelis
otu16	Phalacrocorax penicillatus	bracor	Urile_penicillatus	9830	Phalacrocorax penicillatus
otu14	Phalacrocorax pelagicus	pelcor	Urile_pelagicus	744568	Phalacrocorax pelagicus
otu15	Phalacrocorax urile	refcor	Urile_urile	744567	Phalacrocorax urile
otu1	Phalacrocorax carbo	grecor	Phalacrocorax_carbo_carbo	969841	Phalacrocorax carbo
otu2	not_a_bird	not_a_bird	Phalacrocorax_carbo_novaehollandiae	None	None
otu3	Phalacrocorax capillatus	japcor1	Phalacrocorax_capillatus	9835	Phalacrocorax capillatus
otu5	not_a_bird	not_a_bird	Phalacrocorax_carbo_sinensis	None	None
otu4	Phalacrocorax carbo lucidus	grecor4	Phalacrocorax_carbo_lucidus	3600657	Phalacrocorax lucidus
otu6	Phalacrocorax capensis	capcor1	Phalacrocorax_capensis	9836	Phalacrocorax capensis
otu8	Phalacrocorax varius	piecor1	Phalacrocorax_varius	701202	Phalacrocorax varius
otu7	Phalacrocorax fuscescens	blfcor1	Phalacrocorax_fuscescens	939761	Phalacrocorax fuscescens
otu9	Phalacrocorax sulcirostris	libcor1	Phalacrocorax_sulcirostris	443642	Phalacrocorax sulcirostris
otu11	Phalacrocorax punctatus	sposha1	Phalacrocorax_punctatus	480891	Phalacrocorax punctatus
otu10	Phalacrocorax featherstoni	piisha1	Phalacrocorax_featherstoni	480886	Phalacrocorax featherstoni
otu12	Phalacrocorax nigrogularis	soccor1	Phalacrocorax_nigrogularis	780772	Phalacrocorax nigrogularis
otu13	Phalacrocorax neglectus	bancor1	Phalacrocorax_neglectus	31575	Phalacrocorax neglectus
otu43	Sula sula	refboo	Sula_sula	1030314	Sula sula
otu42	Morus serrator	ausgan1	Morus_serrator	403772	Morus serrator
otu44	Pelecanus occidentalis carolinensis	brnpel2	Pelecanus_occidentalis_carolinensis	901992	Pelecanus occidentalis carolinensis
