otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu316787	Aglaeactis cupripennis	shisun1	Aglaeactis_cupripennis_6304	463441	Aglaeactis cupripennis
otu316761	Lafresnaya lafresnayi	mouvel1	Lafresnaya_lafresnayi_32771	747338	Lafresnaya lafresnayi
otu316757	Coeligena coeligena	broinc1	Coeligena_coeligena_b_33476	747318	Coeligena coeligena
otu316769	Coeligena coeligena	broinc1	Coeligena_coeligena_iavh1869	747318	Coeligena coeligena
otu316774	Coeligena coeligena	broinc1	Coeligena_coeligena_iavh752	747318	Coeligena coeligena
otu316777	Coeligena coeligena	broinc1	Coeligena_coeligena_iavh4500	747318	Coeligena coeligena
otu316756	Coeligena coeligena	broinc1	Coeligena_coeligena_jlpv33	747318	Coeligena coeligena
otu316763	Coeligena coeligena	broinc1	Coeligena_coeligena_b_8015	747318	Coeligena coeligena
otu316779	Coeligena wilsoni	broinc2	Coeligena_wilsoni_b_7870	869064	Coeligena wilsoni
otu316771	Coeligena wilsoni	broinc2	Coeligena_wilsoni_b_12064	869064	Coeligena wilsoni
otu316776	Coeligena prunellei	blainc1	Coeligena_prunellei_jlpv64	245447	Coeligena prunellei
otu316755	Coeligena prunellei	blainc1	Coeligena_prunellei_jlpv42	245447	Coeligena prunellei
otu316754	Coeligena violifer	vitsta1	Coeligena_violifer_b_1258	869063	Coeligena violifer
otu316759	Coeligena violifer	vitsta1	Coeligena_violifer_b_44151	869063	Coeligena violifer
otu316781	Coeligena violifer	vitsta1	Coeligena_violifer_b_3504	869063	Coeligena violifer
otu316753	Coeligena iris	raista1	Coeligena_iris_b_31972	747317	Coeligena iris
otu316780	Coeligena iris	raista1	Coeligena_iris_b_31851	747317	Coeligena iris
otu316765	Coeligena iris	raista1	Coeligena_iris_01N8410	747317	Coeligena iris
otu316778	Coeligena iris	raista1	Coeligena_iris_01N8752	747317	Coeligena iris
otu316770	Coeligena phalerata	whtsta1	Coeligena_phalerata_iavh485	245448	Coeligena phalerata
otu316783	Coeligena helianthea	bltsta1	Coeligena_helianthea_iavh2569	245442	Coeligena helianthea
otu316785	Coeligena bonapartei	gobsta1	Coeligena_bonapartei_jlpv74	245443	Coeligena bonapartei
otu316775	Coeligena helianthea	bltsta1	Coeligena_helianthea_iavh2504	245442	Coeligena helianthea
otu316786	Coeligena bonapartei	gobsta1	Coeligena_bonapartei_iavh4188	245443	Coeligena bonapartei
otu316772	Coeligena lutetiae	buwsta1	Coeligena_lutetiae_00N5086	369031	Coeligena lutetiae
otu316788	Coeligena lutetiae	buwsta1	Coeligena_lutetiae_b_340	369031	Coeligena lutetiae
otu316782	Coeligena lutetiae	buwsta1	Coeligena_lutetiae_iavh1639	369031	Coeligena lutetiae
otu316760	Coeligena orina	dussta1	Coeligena_orina_iavh5169	245449	Coeligena orina
otu316766	Coeligena orina	dussta1	Coeligena_orina_pcpr1	245449	Coeligena orina
otu316767	Coeligena torquata	colinc1	Coeligena_torquata_b_6229	551374	Coeligena torquata
otu316768	Coeligena torquata	colinc1	Coeligena_torquata_jlpv38	551374	Coeligena torquata
otu316764	Coeligena torquata	colinc1	Coeligena_torquata_ccw1115	551374	Coeligena torquata
otu316773	Coeligena torquata	colinc1	Coeligena_torquata_b_8019	551374	Coeligena torquata
otu316758	Coeligena torquata	colinc1	Coeligena_torquata_b_44126	551374	Coeligena torquata
otu316762	Eriocnemis vestita	glopuf2	Eriocnemis_vestitus_jlpv75	996918	Eriocnemis vestita
otu316784	Ensifera ensifera	swbhum1	Ensifera_ensifera_8224	243722	Ensifera ensifera
