otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu11	no_match	no_match	Grus_vipio	414352	Grus vipio
otu10	no_match	no_match	Grus_rubicunda	972481	Grus rubicunda
otu9	Antigone antigone	sarcra1	Grus_antigone	414358	Grus antigone
otu12	Antigone canadensis	sancra	Grus_canadensis	257929	Grus canadensis
otu8	Bugeranus carunculatus	watcra2	Bugeranus_carunculatus	414343	Grus carunculatus
otu7	Anthropoides paradiseus	blucra2	Anthropoides_paradiseus	510573	Anthropoides paradiseus
otu6	Anthropoides virgo	demcra1	Anthropoides_virgo	414347	Anthropoides virgo
otu5	Grus japonensis	reccra1	Grus_japonensis	928352	Grus japonensis
otu4	Grus americana	whocra	Grus_americana	414356	Grus americana
otu3	Grus grus	comcra	Grus_grus	589064	Grus grus
otu1	Grus nigricollis	blncra1	Grus_nigricollis	589069	Grus nigricollis
otu2	Grus monacha	hoocra1	Grus_monacha	832269	Grus monacha
otu13	Leucogeranus leucogeranus	sibcra1	Leucogeranus_leucogeranus	832271	Grus leucogeranus
otu15	Balearica regulorum	grccra1	Balearica_regulorum	191006	Balearica regulorum
otu14	Balearica pavonina	blccra1	Balearica_pavonina	928354	Balearica pavonina
