otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu1	Furnarius rufus	rufhor2	Furnarius_rufus	799151	Furnarius rufus
otu2	Tyrannus tyrannus	easkin	Tyrannus_tyrannus	463183	Tyrannus tyrannus
otu7	Sapayoa aenigma	sapayo1	Sapayoa_aenigma	395861	Sapayoa aenigma
otu16	Philepitta castanea	velasi1	Philepitta_castanea	839554	Philepitta castanea
otu15	Neodrepanis coruscans	sunasi1	Neodrepanis_coruscans	540005	Neodrepanis coruscans
otu8	Pseudocalyptomena graueri	grabro1	Pseudocalyptomena_graueri	857821	Pseudocalyptomena graueri
otu9	Psarisomus dalhousiae	lotbro1	Psarisomus_dalhousiae	895684	Psarisomus dalhousiae
otu10	Corydon sumatranus	dusbro1	Corydon_sumatranus	857810	Corydon sumatranus
otu12	Cymbirhynchus macrorhynchos	barbro1	Cymbirhynchus_macrorhynchos	395865	Cymbirhynchus macrorhynchos
otu11	Serilophus lunatus	sibbro1	Serilophus_lunatus	768994	Serilophus lunatus
otu14	Eurylaimus ochromalus	baybro1	Eurylaimus_ochromalus	184248	Eurylaimus ochromalus
otu13	Eurylaimus javanicus	banbro1	Eurylaimus_javanicus	857812	Eurylaimus javanicus
otu5	Smithornis capensis	afrbro1	Smithornis_capensis	283120	Smithornis capensis
otu6	Smithornis rufolateralis	rusbro1	Smithornis_rufolateralis	592204	Smithornis rufolateralis
otu4	Calyptomena whiteheadi	whibro1	Calyptomena_whiteheadi	283121	Calyptomena whiteheadi
otu3	Calyptomena viridis	grebro1	Calyptomena_viridis	26175	Calyptomena viridis
otu17	Erythropitta erythrogaster	rebpit1	Pitta_erythrogaster	3598672	Erythropitta erythrogaster
otu25	Hydrornis guajanus	banpit2	Pitta_guajana	232061	Hydrornis guajana
otu26	Hydrornis baudii	blhpit1	Pitta_baudii	784637	Hydrornis baudii
otu24	Hydrornis soror	blrpit1	Pitta_soror	857813	Hydrornis soror
otu23	Hydrornis oatesi	runpit1	Pitta_oatesi	857816	Hydrornis oatesi
otu22	Hydrornis caeruleus	giapit1	Pitta_caerulea	857815	Hydrornis caerulea
otu18	Pitta angolensis	afrpit1	Pitta_angolensis	33874	Pitta angolensis
otu19	Pitta sordida	hoopit2	Pitta_sordida	44876	Pitta sordida
otu20	Pitta versicolor	noipit1	Pitta_versicolor	413075	Pitta versicolor
otu21	Pitta iris	raipit1	Pitta_iris	857811	Pitta iris
