otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
Tl157936	Phalacrocorax carbo	grecor	Phalacrocorax_carbo	969841	Phalacrocorax carbo
Tl157937	Phalacrocorax varius	piecor1	Phalacrocorax_varius	701202	Phalacrocorax varius
Tl36429	Microcarbo melanoleucos	lipcor1	Phalacrocorax_melanoleucos	9838	Microcarbo melanoleucos
Tl157944	Anhinga novaehollandiae	darter4	Anhinga_novaehollandiae	443639	Anhinga novaehollandiae
Tl36434	Anhinga rufa	darter3	Anhinga_rufa	986356	Anhinga rufa
Tl157945	Anhinga anhinga	anhing	Anhinga_anhinga	170196	Anhinga anhinga
Tl157938	Morus serrator	ausgan1	Morus_serrator	403772	Morus serrator
Tl157940	Sula dactylatra	masboo	Sula_dactylatra	170197	Sula dactylatra
Tl157941	Sula sula	refboo	Sula_sula	1030314	Sula sula
Tl157942	Pelecanus occidentalis	brnpel	Pelecanus_occidentalis	329999	Pelecanus occidentalis
Tl36433	Pelecanus conspicillatus	auspel1	Pelecanus_conspicillatus	986358	Pelecanus conspicillatus
