otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu12	Ardea alba	greegr	Ardea_alba	625779	Ardea alba
otu9	Phimosus infuscatus	bafibi1	Phimosus_infuscatus	497204	Phimosus infuscatus
otu8	Theristicus caerulescens	pluibi1	Theristicus_caerulescens	979992	Theristicus caerulescens
otu6	Theristicus caudatus	bunibi1	Theristicus_caudatus	575316	Theristicus caudatus
otu7	Theristicus melanopis	bkfibi1	Theristicus_melanopis	1073495	Theristicus melanopis
otu11	Eudocimus ruber	scaibi	Eudocimus_ruber	689773	Eudocimus ruber
otu10	Eudocimus albus	whiibi	Eudocimus_albus	425447	Eudocimus albus
otu4	Plegadis chihi	whfibi	Plegadis_chihi	242774	Plegadis chihi
otu5	Plegadis falcinellus	gloibi	Plegadis_falcinellus	848593	Plegadis falcinellus
otu3	Threskiornis molucca	ausibi1	Threskiornis_molucca	293724	Threskiornis molucca
otu1	Platalea alba	afrspo1	Platalea_alba	1057477	Platalea alba
otu2	Platalea ajaja	rosspo1	Platalea_ajaja	951123	Platalea ajaja
otu13	Mycteria americana	woosto	Mycteria_americana	464695	Mycteria americana
