otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu1	Sittasomus griseicapillus	oliwoo1	Sittasomus_griseicapillus	729975	Sittasomus griseicapillus
otu2	Campylorhamphus trochilirostris	rebscy1	Campylorhamphus_trochilirostris	231529	Campylorhamphus trochilirostris
otu3	Lepidocolaptes angustirostris	nabwoo1	Lepidocolaptes_angustirostris	729977	Lepidocolaptes angustirostris
otu13	Xiphorhynchus elegans	elewoo1	Xiphorhynchus_elegans	443016	Xiphorhynchus elegans
otu12	Xiphorhynchus spixii	spiwoo1	Xiphorhynchus_spixii	407272	Xiphorhynchus spixii
otu9	no_match	no_match	Xiphorhynchus_chunchotambo	1096489	Xiphorhynchus chunchotambo
otu11	Xiphorhynchus ocellatus	ocewoo1	Xiphorhynchus_ocellatus	227514	Xiphorhynchus ocellatus
otu10	Xiphorhynchus pardalotus	chrwoo1	Xiphorhynchus_pardalotus	12263	Xiphorhynchus pardalotus
otu14	Xiphorhynchus fuscus	leswoo2	Xiphorhynchus_fuscus	359053	Xiphorhynchus fuscus
otu4	Xiphorhynchus obsoletus	strwoo2	Xiphorhynchus_obsoletus	155234	Xiphorhynchus obsoletus
otu5	Xiphorhynchus triangularis	olbwoo1	Xiphorhynchus_triangularis	73534	Xiphorhynchus triangularis
otu6	Xiphorhynchus flavigaster	ivbwoo1	Xiphorhynchus_flavigaster	227511	Xiphorhynchus flavigaster
otu7	Xiphorhynchus susurrans	cocwoo1	Xiphorhynchus_susurrans	227513	Xiphorhynchus susurrans
otu8	Xiphorhynchus guttatus	butwoo1	Xiphorhynchus_guttatus	1077433	Xiphorhynchus guttatus
