otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu7	Loxia leucoptera bifasciata	whwcro1	Loxia_leucoptera_bifasciata	80776	Loxia leucoptera bifasciata
otu6	Loxia megaplaga	hiscro	Loxia_megaplaga	3597418	Loxia megaplaga
otu5	Loxia leucoptera leucoptera	whwcro2	Loxia_leucoptera_leucoptera	602508	Loxia leucoptera leucoptera
otu4	no_match	no_match	Loxia_curvirostra_curvirostra	438240	Loxia curvirostra curvirostra
otu1	no_match	no_match	Loxia_curvirostra_stricklandii	602511	Loxia curvirostra stricklandi
otu2	no_match	no_match	Loxia_curvirostra_minor	602513	Loxia curvirostra minor
otu3	no_match	no_match	Loxia_curvirostra_pusilla	602512	Loxia curvirostra pusilla
otu8	Acanthis hornemanni	hoared	Carduelis_hornemanni	6367	Acanthis hornemanni
