ott_id	original_label,study_id903277	Cettia_fortipes,ot_888	Cettia_fortipes,pg_2913	Cettia_fortipes,ot_409	Cettia_fortipes,ot_409	Passeriformes-oscines_Cettiidae_Cettia_fortipes,ot_521	Cettia_fortipes,ot_809	Cettia_fortipes,ot_809	Cettia_fortipes,ot_429	Cettia_fortipes_L77122,pg_2105	Cettia_fortipes,pg_438
19371	Yuhina_zantholeuca,ot_888	Yuhina_zantholeuca,ot_824	Yuhina_zantholeuca,pg_2404	Yuhina_zantholeuca,pg_2404	Yuhina_zantholeuca,pg_438
292635	Ammodramus_leconteii,ot_884	Ammodramus_leconteii,ot_884	Ammodramus_leconteii,ot_409	Ammodramus_leconteii,ot_409	Passeriformes-oscines_Emberizidae_Ammodramus_leconteii,ot_521	Ammodramus_leconteii,ot_809	Ammodramus_leconteii,ot_809	Ammodramus_leconteii,ot_429	Ammodramus_leconteii_PASSERIFORMES_oscines_Emberizidae,ot_2018	Ammodramus_leconteii_PASSERIFORMES_oscines_Emberizidae,ot_2018	Ammodramus_leconteii,ot_770	Ammodramus_leconteii,ot_770	Ammodramus_leconteii,pg_438	Ammodramus_leconteii,pg_2924
624026	Hylocryptus_erythrocephalus,ot_875	Hylocryptus_erythrocephalus,ot_409	Hylocryptus_erythrocephalus,ot_409	Passeriformes-suboscines_Furnariidae_Hylocryptus_erythrocephalus,ot_521	Hylocryptus_erythrocephalus,ot_809	Hylocryptus_erythrocephalus,ot_809	Hylocryptus_erythrocephalus,ot_429	Hylocryptus_erythrocephalus,pg_438	Hylocryptus_erythrocephalus,pg_1953
239643	Hylocryptus_rectirostris,ot_875	Hylocryptus_rectirostris,ot_409	Hylocryptus_rectirostris,ot_429	Hylocryptus_rectirostris,pg_1953
972758	Philydor_lichtensteini,ot_875	Philydor_lichtensteini,ot_409	Philydor_lichtensteini,ot_409	Passeriformes-suboscines_Furnariidae_Philydor_lichtensteini,ot_521	Philydor_lichtensteini,ot_809	Philydor_lichtensteini,ot_809	Philydor_lichtensteini,ot_429	Philydor_lichtensteini,ot_427	Philydor_lichtensteini,pg_1953
997981	Upucerthia_jelskii,ot_875	Upucerthia_jelskii,ot_409	Upucerthia_jelskii,ot_409	Passeriformes-suboscines_Furnariidae_Upucerthia_jelskii,ot_521	Upucerthia_jelskii,ot_809	Upucerthia_jelskii,ot_809	Upucerthia_jelskii,ot_429	Upucerthia_jelskii,ot_866	Upucerthia_jelskii,pg_438	Upucerthia_jelskii,pg_1953
910740	Hyloctistes_subulatus,ot_875	Hyloctistes_subulatus,ot_409	Hyloctistes_subulatus,ot_409	Passeriformes-suboscines_Furnariidae_Hyloctistes_subulatus,ot_521	Hyloctistes_subulatus,ot_809	Hyloctistes_subulatus,ot_809	Hyloctistes_subulatus,ot_429	Hyloctistes_subulatus,ot_427	Hyloctistes_subulatus_assimilis,pg_1953
548200	Cranioleuca_baroni,ot_875	Cranioleuca_baroni,ot_409	Cranioleuca_baroni,ot_409	Passeriformes-suboscines_Furnariidae_Cranioleuca_baroni,ot_521	Cranioleuca_baroni,ot_809	Cranioleuca_baroni,ot_809	Cranioleuca_baroni,ot_427	Cranioleuca_baroni,pg_435	Cranioleuca_baroni,pg_438	Cranioleuca_baroni,pg_1953
745711	Schizoeaca_harterti,ot_875	Schizoeaca_harterti,ot_409	Schizoeaca_harterti,ot_409	Schizoeaca_harterti,ot_809	Schizoeaca_harterti,ot_809	Schizoeaca_harterti,ot_429	Schizoeaca_harterti,ot_427	Schizoeaca_harterti,ot_866	Schizoeaca_harterti,pg_438	Schizoeaca_harterti,pg_1953
835375	Schizoeaca_griseomurina,ot_875	Schizoeaca_griseomurina,ot_429	Schizoeaca_griseomurina,ot_427	Schizoeaca_griseomurina,pg_1953
155232	Dendrocolaptidae,ot_875
472037	Formicarioidea,ot_875	Formicariidae,ot_427
366479	Spreo_fischeri,ot_874	Spreo_fischeri,ot_409	Spreo_fischeri,ot_409	Passeriformes-oscines_Sturnidae_Spreo_fischeri,ot_521	Spreo_fischeri,ot_809	Spreo_fischeri,ot_809	Spreo_fischeri,ot_429	Spreo_fischeri,ot_427
512764	Eudyptes_chrysocome_moseleyi,ot_872	Eudyptes_moseleyi,ot_409	Eudyptes_moseleyi,ot_806	Eudyptes_moseleyi,ot_806	Eudyptes_moseleyi,ot_809	Eudyptes_moseleyi,ot_809	Eudyptes_moseleyi,ot_786
291637	Megalaima_mystacophanos,ot_870	Megalaima_mystacophanos,ot_409	Megalaima_mystacophanos,ot_409	Piciformes_Megalaimidae_Megalaima_mystacophanos,ot_521	Megalaima_mystacophanos_Sumatra,ot_150	Megalaima_mystacophanos_Borneo,ot_150	Megalaima_mystacophanos,ot_156	Megalaima_mystacophanos,ot_809	Megalaima_mystacophanos,ot_809	Megalaima_mystacophanos,ot_781	Megalaima_mystacophanos,ot_781	Megalaima_mystacophanos,ot_429	Megalaima_mystacophanos,ot_427	Megalaima_mystacophanos,ot_427
