otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu128	Brachypteracias leptosomus	slgrol1	Brachypteracias_leptosomus	483805	Brachypteracias leptosomus
otu127	Atelornis crossleyi	rhgrol1	Atelornis_crossleyi	372537	Atelornis crossleyi
otu130	Eurystomus orientalis	dollar1	Eurystomus_orientalis	897864	Eurystomus orientalis
otu129	Coracias abyssinicus	abyrol2	Coracias_abyssinicus	5857416	Coracias abyssinicus
otu122	Aspatha gularis	bltmot1	Aspatha_gularis	3596435	Aspatha gularis
otu123	Momotus momota	bucmot4	Momotus_momota	989081	Momotus momota
otu124	Hylomanes momotula	todmot1	Hylomanes_momotula	88365	Hylomanes momotula
otu79	Megaceryle torquata	rinkin1	Megaceryle_torquata	314750	Megaceryle torquata
otu78	Megaceryle alcyon	belkin1	Megaceryle_alcyon	839181	Megaceryle alcyon
otu80	Megaceryle lugubris	crekin1	Megaceryle_lugubris	3596426	Megaceryle lugubris
otu81	Megaceryle maxima	giakin3	Megaceryle_maxima	209417	Megaceryle maxima
otu73	Ceryle rudis	piekin1	Ceryle_rudis	26085	Ceryle rudis
otu74	Chloroceryle aenea	ampkin1	Chloroceryle_aenea	986901	Chloroceryle aenea
otu75	Chloroceryle americana	grnkin	Chloroceryle_americana	1039522	Chloroceryle americana
otu76	Chloroceryle inda	garkin1	Chloroceryle_inda	485385	Chloroceryle inda
otu77	Chloroceryle amazona	amakin1	Chloroceryle_amazona	485386	Chloroceryle amazona
otu3	Actenoides concretus	ruckin1	Actenoides_concretus	571609	Actenoides concretus
otu4	Actenoides hombroni	blckin2	Actenoides_hombroni	3596407	Actenoides hombroni
otu2	Actenoides bougainvillei excelsus	moukin4	Actenoides_excelsus	6151306	Actenoides excelsus
otu1	Actenoides bougainvillei	moukin2	Actenoides_bougainvillei	3596408	Actenoides bougainvillei
otu5	Actenoides lindsayi	spokin1	Actenoides_lindsayi	571605	Actenoides lindsayi
otu7	Actenoides monachus	grbkin1	Actenoides_monachus	3596409	Actenoides monachus
otu6	Actenoides monachus capucinus	gnbkin2	Actenoides_capucinus	6151305	Actenoides capucinus
otu8	Actenoides princeps	scakin1	Actenoides_princeps	3596406	Actenoides princeps
otu9	Caridonax fulgidus	whrkin1	Caridonax_fulgidus	3596460	Caridonax fulgidus
otu10	Clytoceyx rex	shbkoo1	Clytoceyx_rex	757735	Clytoceyx rex
otu11	Dacelo tyro	spakoo1	Dacelo_tyro	3596366	Dacelo tyro
otu12	Dacelo gaudichaud	rubkoo1	Dacelo_gaudichaud	234479	Dacelo gaudichaud
otu13	Dacelo leachii	blwkoo1	Dacelo_leachii	757732	Dacelo leachii
otu14	Dacelo novaeguineae	laukoo1	Dacelo_novaeguineae	938422	Dacelo novaeguineae
otu15	Melidora macrorrhina	hobkin1	Melidora_macrorrhina	757734	Melidora macrorrhina
otu16	Syma megarhyncha	moukin1	Syma_megarhyncha	3596405	Syma megarhyncha
otu17	Syma torotoro	yebkin1	Syma_torotoro	234478	Syma torotoro
otu38	Todiramphus diops	bawkin1	Todiramphus_diops	3596384	Todiramphus diops
otu39	Todiramphus macleayii	forkin1	Todiramphus_macleayii	494182	Todiramphus macleayii
otu40	Todiramphus leucopygius	ultkin1	Todiramphus_leucopygius	3596387	Todiramphus leucopygius
otu41	Todiramphus lazuli	lazkin1	Todiramphus_lazuli	3596385	Todiramphus lazuli
otu37	Todiramphus albonotatus	nebkin1	Todiramphus_albonotatus	3596377	Todiramphus albonotatus
otu35	Todiramphus farquhari	chbkin1	Todiramphus_farquhari	3596380	Todiramphus farquhari
otu34	Todiramphus pelewensis	mickin4	Todiramphus_pelewensis	6151358	Todiramphus pelewensis
otu33	Todiramphus godeffroyi	markin2	Todiramphus_godeffroyi	3596382	Todiramphus godeffroyi
otu31	Todiramphus ruficollaris	mankin1	Todiramphus_ruficollaris	5857393	Todiramphus ruficollaris
otu32	Todiramphus veneratus	tahkin1	Todiramphus_veneratus	3596381	Todiramphus veneratus
otu29	Todiramphus gambieri	mankin3	Todiramphus_gambieri	3596389	Todiramphus gambieri
otu30	Todiramphus tutus	chakin2	Todiramphus_tutus	3596391	Todiramphus tutus
otu28	Todiramphus cinnamominus	mickin1	Todiramphus_cinnamominus	178964	Todiramphus cinnamominus
otu26	Todiramphus reichenbachii	mickin5	Todiramphus_reichenbachii	6151359	Todiramphus reichenbachii
otu27	Todiramphus sacer	packin1	Todiramphus_sacer	6151360	Todiramphus sacer
otu25	Todiramphus recurvirostris	flbkin1	Todiramphus_recurvirostris	3596390	Todiramphus recurvirostris
otu24	Todiramphus chloris	colkin1	Todiramphus_chloris	704131	Todiramphus chloris
otu18	Todiramphus albicilla	colkin2	Todiramphus_albicilla	6151350	Todiramphus albicilla
otu19	Todiramphus saurophagus	beakin2	Todiramphus_saurophagus	3596395	Todiramphus saurophagus
otu20	Todiramphus tristrami	melkin1	Todiramphus_tristrami	6151363	Todiramphus tristrami
otu23	Todiramphus sordidus	colkin9	Todiramphus_sordidus	6151361	Todiramphus sordidus
otu22	Todiramphus sanctus	sackin1	Todiramphus_sanctus	234470	Todiramphus sanctus
otu21	Todiramphus colonus	colkin17	Todiramphus_colonus	6151352	Todiramphus colonus
otu36	Todiramphus australasia	cibkin1	Todiramphus_australasia	3596388	Todiramphus australasia
otu42	Todiramphus pyrrhopygius	rebkin2	Todiramphus_pyrrhopygius	3596379	Todiramphus pyrrhopygius
otu43	Todiramphus funebris	somkin1	Todiramphus_funebris	3596376	Todiramphus funebris
otu44	Todiramphus winchelli	rulkin1	Todiramphus_winchelli	5857394	Todiramphus winchelli
otu45	Todiramphus nigrocyaneus	blbkin3	Todiramphus_nigrocyaneus	3596386	Todiramphus nigrocyaneus
otu52	Tanysiptera danae	bhpkin1	Tanysiptera_danae	3596399	Tanysiptera danae
otu53	Tanysiptera nympha	rbpkin1	Tanysiptera_nympha	3596401	Tanysiptera nympha
otu51	Tanysiptera hydrocharis	lipkin1	Tanysiptera_hydrocharis	3596403	Tanysiptera hydrocharis
otu50	Tanysiptera galatea	copkin1	Tanysiptera_galatea	234476	Tanysiptera galatea
otu49	Tanysiptera riedelii	bipkin1	Tanysiptera_riedelii	3596402	Tanysiptera riedelii
otu48	Tanysiptera carolinae	nupkin1	Tanysiptera_carolinae	3596404	Tanysiptera carolinae
otu54	Tanysiptera nigriceps	bubpak2	Tanysiptera_nigriceps	3596397	Tanysiptera nigriceps
otu55	Tanysiptera sylvia	bubpak1	Tanysiptera_sylvia	3596400	Tanysiptera sylvia
otu47	not_a_bird	not_a_bird	Cittura_sanghirensis	None	None
otu46	Cittura cyanotis	lilkin1	Cittura_cyanotis	234469	Cittura cyanotis
otu62	Halcyon chelicuti	strkin1	Halcyon_chelicuti	3596369	Halcyon chelicuti
otu59	Halcyon gularis	bnbkin1	Halcyon_gularis	6151339	Halcyon gularis
otu58	Halcyon cyanoventris	javkin1	Halcyon_cyanoventris	3596372	Halcyon cyanoventris
otu61	Halcyon smyrnensis	whtkin2	Halcyon_smyrnensis	704458	Halcyon smyrnensis
otu60	Halcyon pileata	blckin1	Halcyon_pileata	3596370	Halcyon pileata
otu57	Halcyon leucocephala	gyhkin1	Halcyon_leucocephala	26093	Halcyon leucocephala
otu56	Halcyon albiventris	brhkin1	Halcyon_albiventris	3596371	Halcyon albiventris
otu65	Halcyon senegalensis	wookin1	Halcyon_senegalensis	234474	Halcyon senegalensis
otu66	Halcyon senegaloides	mankin2	Halcyon_senegaloides	3596368	Halcyon senegaloides
otu64	Halcyon malimbica	blbkin4	Halcyon_malimbica	551379	Halcyon malimbica
otu63	Halcyon badia	chbkin2	Halcyon_badia	26092	Halcyon badia
otu67	Halcyon coromanda	rudkin1	Halcyon_coromanda	45318	Halcyon coromanda
otu70	Pelargopsis melanorhyncha	blbkin1	Pelargopsis_melanorhyncha	3596411	Pelargopsis melanorhyncha
otu69	Pelargopsis capensis	stbkin1	Pelargopsis_capensis	589619	Pelargopsis capensis
otu68	Pelargopsis amauroptera	bnwkin1	Pelargopsis_amauroptera	3596410	Pelargopsis amauroptera
otu72	Lacedo pulchella	bankin1	Lacedo_pulchella	485388	Lacedo pulchella
otu71	Lacedo pulchella melanops	bankin3	Lacedo_melanops	6151343	Lacedo melanops
otu117	Corythornis vintsioides	malkin2	Corythornis_vintsioides	3596463	Corythornis vintsioides
otu116	Corythornis cristatus	malkin1	Corythornis_cristatus	651469	Alcedo cristata
otu118	Corythornis leucogaster	whbkin1	Corythornis_leucogaster	3596453	Corythornis leucogaster
otu119	Corythornis madagascariensis	mapkin1	Corythornis_madagascariensis	3596464	Corythornis madagascariensis
otu120	Ispidina lecontei	dwakin1	Ispidina_lecontei	1061846	Ceyx lecontei
otu121	Ispidina picta	afpkin1	Ispidina_picta	1097691	Ceyx pictus
otu88	Alcedo euryzona	blbkin2	Alcedo_euryzona	838173	Alcedo euryzona
otu87	Alcedo meninting	blekin1	Alcedo_meninting	838168	Alcedo meninting
otu86	Alcedo hercules	blykin1	Alcedo_hercules	838172	Alcedo hercules
otu84	Alcedo quadribrachys	shbkin1	Alcedo_quadribrachys	26078	Alcedo quadribrachys
otu85	Alcedo semitorquata	hackin1	Alcedo_semitorquata	838175	Alcedo semitorquata
otu83	Alcedo coerulescens	smbkin1	Alcedo_coerulescens	624772	Alcedo coerulescens
otu82	Alcedo atthis	comkin1	Alcedo_atthis	549519	Alcedo atthis
otu112	Ceyx azureus	azukin1	Ceyx_azureus	3596412	Ceyx azureus
otu113	Ceyx websteri	biskin1	Ceyx_websteri	838174	Alcedo websteri
otu114	Ceyx pusillus	litkin1	Ceyx_pusillus	838167	Alcedo pusilla
otu111	Ceyx erithaca	bkbkin1	Ceyx_erithaca	215691	Ceyx erithaca
otu110	no_match	no_match	Ceyx_mindanensis	6151323	Ceyx mindanensis
otu109	Ceyx melanurus samarensis	phidwk2	Ceyx_melanurus_samarensis	547249	Ceyx melanurus samarensis
otu108	Ceyx melanurus melanurus	phidwk1	Ceyx_melanurus_melanurus	547238	Ceyx melanurus melanurus
otu96	Ceyx collectoris	vardwk11	Ceyx_collectoris	6151315	Ceyx collectoris
otu97	Ceyx nigromaxilla	vardwk14	Ceyx_nigromaxilla	6151327	Ceyx nigromaxilla
otu98	Ceyx dispar	vardwk7	Ceyx_dispar	6151317	Ceyx dispar
otu99	Ceyx gentianus	vardwk15	Ceyx_gentianus	6151319	Ceyx gentianus
otu100	Ceyx sacerdotis	vardwk9	Ceyx_sacerdotis	6151329	Ceyx sacerdotis
otu101	Ceyx malaitae	vardwk13	Ceyx_malaitae	6151320	Ceyx malaitae
otu103	Ceyx pallidus	vardwk10	Ceyx_meeki_pallidus	6151328	Ceyx pallidus
otu102	Ceyx meeki	vardwk12	Ceyx_meeki_meeki	6151322	Ceyx meeki
otu105	Ceyx solitarius	vardwk6	Ceyx_solitarius	6151330	Ceyx solitarius
otu104	Ceyx mulcatus	vardwk8	Ceyx_mulcatus	6151325	Ceyx mulcatus
otu107	Ceyx uropygialis	vardwk3	Ceyx_uropygialis	6151331	Ceyx uropygialis
otu106	Ceyx lepidus	vardwk4	Ceyx_lepidus	931007	Ceyx lepidus
otu89	Ceyx argentatus	silkin1	Ceyx_argentatus	838166	Alcedo argentata
otu90	not_a_bird	not_a_bird	Ceyx_flumenicola	None	None
otu91	not_a_bird	not_a_bird	Ceyx_nigrirostris	6151326	Ceyx nigrirostris
otu92	Ceyx cyanopectus	inbkin2	Ceyx_cyanopectus	838161	Alcedo cyanopectus
otu95	Ceyx margarethae	vardwk1	Ceyx_margarethae	6151321	Ceyx margarethae
otu94	Ceyx wallacii	vardwk2	Ceyx_wallacii	6151332	Ceyx wallacii
otu93	Ceyx cajeli	vardwk5	Ceyx_cajeli	6151314	Ceyx cajeli
otu115	Ceyx fallax	sulkin1	Ceyx_fallax	313662	Ceyx fallax
otu126	Todus subulatus	brbtod1	Todus_subulatus	986890	Todus subulatus
otu125	Todus angustirostris	nabtod1	Todus_angustirostris	986892	Todus angustirostris
otu131	Merops bulocki	rtbeat1	Merops_bulocki	704136	Merops bulocki
otu132	Nyctyornis amictus	rbbeat1	Nyctyornis_amictus	524018	Nyctyornis amictus
otu133	Capito niger	blsbar1	Capito_niger	1068254	Capito niger
